xq2_bin,z_bin,pt2_bin,rec_A,phi_bin_count_x_A,recerr_A,gen_A,phi_bin_count_y_A,generr_A,eff_A,efferr_A,rec_B,phi_bin_count_x_B,recerr_B,gen_B,phi_bin_count_y_B,generr_B,eff_B,efferr_B,acceptance_scale,eff_B_scaled,efferr_B_scaled,eff_ratio_A_over_Bscaled,eff_ratio_err,z_plot,pt2_plot
0,5,1,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,1
0,5,2,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,2
0,5,3,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,3
0,5,4,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,4
0,5,5,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,5
0,5,6,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,6
0,5,7,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,7
0,5,8,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,8
0,5,9,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,9
0,5,10,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,10
0,5,11,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,5,11
0,6,1,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,1
0,6,2,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,2
0,6,3,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,3
0,6,4,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,4
0,6,5,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,5
0,6,6,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,6
0,6,7,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,7
0,6,8,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,8
0,6,9,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,9
0,6,10,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,10
0,6,11,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,6,11
0,7,1,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,1
0,7,2,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,2
0,7,3,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,3
0,7,4,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,4
0,7,5,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,5
0,7,6,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,6
0,7,7,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,7
0,7,8,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,8
0,7,9,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,9
0,7,10,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,10
0,7,11,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,7,11
0,8,1,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,1
0,8,2,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,2
0,8,3,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,3
0,8,4,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,4
0,8,5,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,5
0,8,6,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,6
0,8,7,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,7
0,8,8,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,8
0,8,9,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,9
0,8,10,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,10
0,8,11,0.0,8,0.0,0.0,8,0.0,,,0.0,8,0.0,0.0,8,0.0,,,,,,,,8,11
1,1,1,79611.16,8,826.1918404123827,126289700.0,8,862.3148892074403,0.000630385217480127,6.54203802241426e-06,79611.16,8,826.1918404123827,73966740.0,8,862.3148892074403,0.0010763102443071034,1.1169782009075101e-05,0.5904129849247507,0.0006354675440464446,6.594784336936809e-06,0.9920022247966355,0.014559108330750881,1,1
1,1,2,88885.512,8,560.471476748175,54540530.0,8,535.9253443490147,0.0016297148560895907,1.027625065761945e-05,88885.512,8,560.471476748175,31998800.0,8,535.9253443490147,0.002777776416615623,1.7515452260828313e-05,0.5904129849247507,0.0016400352655876079,1.0341350451622618e-05,0.9937072026958399,0.008861291073717364,1,2
1,1,3,88154.54,8,430.80553326415156,28536440.0,8,403.8171755693658,0.0030891919244306577,1.509674435166203e-05,88154.54,8,430.80553326415156,16758050.0,8,403.8171755693658,0.005260429465242077,2.5707690957540058e-05,0.5904129849247507,0.0031058258625596847,1.5178154553764248e-05,0.9946442785703001,0.006874212068992271,1,3
1,1,4,63674.340000000004,8,309.91556574855997,16339270.0,8,298.4199785855163,0.0038970125348317276,1.896766181702035e-05,63674.340000000004,8,309.91556574855997,9599160.0,8,298.4199785855163,0.0066333241658645134,3.228635500853164e-05,0.5904129849247507,0.003916400720741549,1.906228323292734e-05,0.9950494887289902,0.006849274540482631,1,4
1,1,5,56988.47,8,284.12677825729486,16047220.0,8,276.04609668986444,0.0035512986049920175,1.77057751719047e-05,56988.47,8,284.12677825729486,9435750.0,8,276.04609668986444,0.006039633309487852,3.011225071847095e-05,0.5904129849247507,0.0035658779301056733,1.77786638294949e-05,0.9959114346033646,0.007022082328231183,1,5
1,1,6,7777.473,8,95.85958714849548,6503135.0,8,119.30755998196426,0.0011959574881960776,1.4740535655940872e-05,7777.473,8,95.85958714849548,3832645.0,8,119.30755998196426,0.002029270386378076,2.501141976013067e-05,0.5904129849247507,0.001198107586040882,1.4767066997784642e-05,0.9982054217251813,0.017399344917928394,1,6
1,1,7,0.0,8,0.0,2788611.0,8,48.01350800108236,0.0,,0.0,8,0.0,1646134.0,8,48.01350800108236,0.0,,0.5904129849247507,0.0,,,,1,7
1,1,8,0.0,8,0.0,1568320.0,8,0.0,0.0,,0.0,8,0.0,928923.0,8,0.0,0.0,,0.5904129849247507,0.0,,,,1,8
1,1,9,0.0,8,0.0,485007.0,8,16.62965249686535,0.0,,0.0,8,0.0,288734.0,8,16.62965249686535,0.0,,0.5904129849247507,0.0,,,,1,9
1,1,10,0.0,8,0.0,169505.0,8,5.45415,0.0,,0.0,8,0.0,102573.0,8,5.45415,0.0,,0.5904129849247507,0.0,,,,1,10
1,1,11,0.0,8,0.0,27781.0,8,3.60712,0.0,,0.0,8,0.0,17213.0,8,3.60712,0.0,,0.5904129849247507,0.0,,,,1,11
1,2,1,97075.31202,8,751.2995265801533,10260800.0,8,748.0672022441299,0.00946079370224544,7.322361417124274e-05,97075.31202,8,751.2995265801533,5980758.0,8,748.0672022441299,0.016231272360459993,0.00012563585367362625,0.5904129849247507,0.009583153963465789,7.417703938101488e-05,0.9872317337604272,0.01080628493695171,2,1
1,2,2,145206.179,8,613.8621466451649,7940947.0,8,604.1936074351995,0.01828575093121765,7.73159119860602e-05,145206.179,8,613.8621466451649,4632343.0,8,604.1936074351995,0.03134616305398801,0.00013257961182182863,0.5904129849247507,0.018507181694643,7.82767243558906e-05,0.9880354141933213,0.005908969369555348,2,2
1,2,3,158653.86000000002,8,533.9273083516614,6027227.0,8,524.3897696687646,0.026322861242823608,8.861549537316026e-05,158653.86000000002,8,533.9273083516614,3519526.0,8,524.3897696687646,0.04507818950620056,0.00015185292742944618,0.5904129849247507,0.026614748421359444,8.965594015318087e-05,0.9890328785410729,0.004710233225211716,2,3
1,2,4,142496.43,8,458.2882559396215,4519632.0,8,451.48892464136924,0.0315283257574953,0.00010144836379729896,142496.43,8,458.2882559396215,2640104.0,8,451.48892464136924,0.05397379421416732,0.00017383242246161594,0.5904129849247507,0.03186682894970077,0.00010263291942226295,0.9893775689843577,0.004504256741104702,2,4
1,2,5,216818.0,8,553.3695769451732,5924849.0,8,532.8042412692395,0.03659468789837513,9.345604756254298e-05,216818.0,8,553.3695769451732,3463683.0,8,532.8042412692395,0.06259752985478174,0.0001600532596934518,0.5904129849247507,0.03695839445047788,9.449752280254717e-05,0.9901590272653727,0.003578231614713357,2,5
1,2,6,130214.23,8,407.0262230715854,3400520.0,8,389.11873821193706,0.038292446449366566,0.00011977546523357962,130214.23,8,407.0262230715854,1990765.0,8,389.11873821193706,0.06540914171185448,0.00020485653452974816,0.5904129849247507,0.03861840659946202,0.00012094995803304887,0.9915594614382667,0.004389014353102319,2,6
1,2,7,65594.38,8,278.2026701940152,2002136.0,8,267.9167399274446,0.03276219997043158,0.0001390220771108617,65594.38,8,278.2026701940152,1172638.0,8,267.9167399274446,0.055937450432273224,0.0002375891246430697,0.5904129849247507,0.03302619707879872,0.00014027570426617344,0.9920064333251191,0.005955893010449504,2,7
1,2,8,35693.71,8,199.66610772524714,1597652.0,8,195.4224393375029,0.022341354688004647,0.00012500459214275324,35693.71,8,199.66610772524714,936055.0,8,195.4224393375029,0.03813206488934945,0.0002134544626897181,0.5904129849247507,0.022513666252665092,0.0001260262864621453,0.9923463569759524,0.007854055937198186,2,8
1,2,9,7482.046,8,89.81925656884496,745217.0,8,91.55809030626403,0.010040090336103443,0.00012053396590060076,7482.046,8,89.81925656884496,435089.0,8,91.55809030626403,0.017196587364883966,0.00020647052784955293,0.5904129849247507,0.010153088476620395,0.00012190288064664342,0.9888705647767028,0.016789905832281148,2,9
1,2,10,515.9727,8,23.70480466079398,423424.0,8,39.58222927942412,0.0012185721640719468,5.5983727264084366e-05,515.9727,8,23.70480466079398,247286.0,8,39.58222927942412,0.002086542303244017,9.586045524780746e-05,0.5904129849247507,0.0012319216694300643,5.659725751910349e-05,0.9891636735602731,0.06426796983358708,2,10
1,2,11,0.0,8,0.0,223987.0,8,8.867839465642124,0.0,,0.0,8,0.0,132483.0,8,8.867839465642124,0.0,,0.5904129849247507,0.0,,,,2,11
1,3,1,46670.8191,8,324.027312494907,4893173.0,8,336.9106458049999,0.009537945848225681,6.622354169858502e-05,46670.8191,8,324.027312494907,2847923.0,8,336.9106458049999,0.016387668873069954,0.00011379322665878777,0.5904129849247507,0.009675492495307657,6.71849986158336e-05,0.9857840159404101,0.009679995656690003,3,1
1,3,2,64265.3197,8,347.3566791013721,3908512.0,8,358.82254865569695,0.01644240050945219,8.888466527805416e-05,64265.3197,8,347.3566791013721,2280429.0,8,358.82254865569695,0.028181241205053963,0.00015238529087441743,0.5904129849247507,0.016638570738760287,8.997025444379117e-05,0.9882099110321352,0.0075559049572753775,3,2
1,3,3,74415.755,8,339.8987135307958,3088836.0,8,344.009734760021,0.024091843982652367,0.00011007374316400019,74415.755,8,339.8987135307958,1801490.0,8,344.009734760021,0.04130789235577217,0.00018884125517959984,0.5904129849247507,0.024388716026721737,0.00011149432914752408,0.9878274836713791,0.00638461783095244,3,3
1,3,4,75645.75899999999,8,316.43135462166197,2422557.0,8,313.548718876174,0.03122558478500196,0.00013068125401162215,75645.75899999999,8,316.43135462166197,1414021.0,8,313.548718876174,0.05349691341217704,0.00022409542079714534,0.5904129849247507,0.03158527233194438,0.00013230884630081063,0.9886121752200743,0.005853889632530314,3,4
1,3,5,132262.57,8,421.70443432833383,3345389.0,8,414.50945262144506,0.03953578193746676,0.00012615057390709722,132262.57,8,421.70443432833383,1951778.0,8,414.50945262144506,0.0677651710389194,0.00021654045643376216,0.5904129849247507,0.040009436907024666,0.00012784829724002547,0.9881614187508162,0.004462300631352324,3,5
1,3,6,98003.7,8,360.9593356778711,2014883.0,8,338.07566627082167,0.0486398962123359,0.00017933235056379152,98003.7,8,360.9593356778711,1176119.0,8,338.07566627082167,0.08332804758702138,0.0003078404321957531,0.5904129849247507,0.04919796130380496,0.00018175298845321994,0.9886567435584795,0.005160136530037326,3,6
1,3,7,68234.45,8,282.9420272476855,1216148.0,8,274.05003264210717,0.056107028091975646,0.0002329975608679801,68234.45,8,282.9420272476855,709748.0,8,274.05003264210717,0.09613898172309045,0.000400375992101716,0.5904129849247507,0.056761703166755884,0.00023638718458898257,0.9884662538603375,0.005813384277228888,3,7
1,3,8,62341.14,8,265.3655154465817,1008007.0,8,257.13120440580525,0.061845939561927646,0.0002637298971644366,62341.14,8,265.3655154465817,589792.0,8,257.13120440580525,0.1057002129564321,0.00045228439245784726,0.5904129849247507,0.06240677823878889,0.000267034578185915,0.9910131768905729,0.005986702224120484,3,8
1,3,9,32754.32,8,189.34764742008284,502458.0,8,179.69657650645433,0.06518817493203412,0.0003775632005112623,32754.32,8,189.34764742008284,294856.0,8,179.69657650645433,0.1110858181620859,0.0006457286296953646,0.5904129849247507,0.06558650948388522,0.0003812465677098092,0.9939265779657175,0.008155993145211341,3,9
1,3,10,17950.004,8,138.87597411507147,316860.0,8,131.01286686677,0.05664963706368743,0.0004389135644932355,17950.004,8,138.87597411507147,186107.0,8,131.01286686677,0.09644991322196371,0.0007492983367153857,0.5904129849247507,0.05694528116111277,0.0004423954675792818,0.9948082775008366,0.010914970760775076,3,10
1,3,11,6451.9310000000005,8,82.39256050645592,218425.0,8,78.97912614963526,0.029538427377818477,0.00037736331382466566,6451.9310000000005,8,82.39256050645592,127363.0,8,78.97912614963526,0.05065781270855743,0.000647673528638913,0.5904129849247507,0.02990903041101836,0.00038239486130044664,0.9876089920633684,0.01785011872475316,3,11
1,4,1,19210.8562,8,181.6907313050118,2550884.0,8,185.0606375111682,0.0075310583311510824,7.122867076328776e-05,19210.8562,8,181.6907313050118,1479263.0,8,185.0606375111682,0.012986775306351879,0.00012283591618448476,0.5904129849247507,0.0076675607731702565,7.252391993044814e-05,0.982197409833801,0.013137877809714487,4,1
1,4,2,30408.855,8,213.5273961440077,2074935.0,8,214.27476975472405,0.014655328962112066,0.0001029191209657881,30408.855,8,213.5273961440077,1207898.0,8,214.27476975472405,0.025175018917160223,0.00017683241849970866,0.5904129849247507,0.014863658064417633,0.0001044041560378757,0.9859839952316792,0.0097933473227887,4,2
