# ix,iz,iPt,ratio_corr
4,7,4,0.0628388
4,7,5,0.0702948
4,7,6,0.0800614
4,7,7,0.0911265
4,7,8,0.0937754
4,7,9,0.0756708
4,7,10,0
4,7,11,0
4,8,1,0.0899838
4,8,2,0.0629584
4,8,3,0.0513098
4,8,4,0.0475241
4,8,5,0.0250756
4,8,6,0
4,8,7,0
4,8,8,0
4,8,9,0
4,8,10,0
4,8,11,0
5,1,1,2.37113e-05
5,1,2,2.5931e-05
5,1,3,2.43357e-05
5,1,4,2.50832e-05
5,1,5,0
5,1,6,0
5,1,7,0
5,1,8,0
5,1,9,0
5,1,10,0
5,1,11,0
5,2,1,0.0152608
5,2,2,0.0130799
5,2,3,0.0138504
5,2,4,0.012691
5,2,5,0.00928352
5,2,6,0.00463643
5,2,7,0.00141749
5,2,8,0
5,2,9,0
5,2,10,0
5,2,11,0
5,3,1,0.0444326
5,3,2,0.0417489
5,3,3,0.040643
5,3,4,0.044493
5,3,5,0.0429499
5,3,6,0.0340405
5,3,7,0.0276732
5,3,8,0.0200445
5,3,9,0.0106223
5,3,10,0.00172736
5,3,11,0
5,4,1,0.0663977
5,4,2,0.058197
5,4,3,0.0548171
5,4,4,0.0580622
5,4,5,0.0654722
5,4,6,0.0651929
5,4,7,0.0591145
5,4,8,0.0530189
5,4,9,0.0489404
5,4,10,0.0496003
5,4,11,0.0238396
5,5,1,0.0917569
5,5,2,0.0639371
5,5,3,0.0591881
5,5,4,0.0602159
5,5,5,0.0697184
5,5,6,0.0818037
5,5,7,0.0843891
5,5,8,0.0840067
5,5,9,0.0830607
5,5,10,0.0755504
5,5,11,0.00545663
5,6,1,0.116616
5,6,2,0.0769018
5,6,3,0.0648157
5,6,4,0.0632709
5,6,5,0.0705855
5,6,6,0.0874232
5,6,7,0.102379
5,6,8,0.107159
5,6,9,0.0995138
5,6,10,0.00927209
5,6,11,0
5,7,1,0.150279
5,7,2,0.0980376
5,7,3,0.0755769
5,7,4,0.0664333
5,7,5,0.0704588
5,7,6,0.0749624
5,7,7,0.0632978
5,7,8,0.0102321
5,7,9,0
5,7,10,0
5,7,11,0
5,8,1,0.0432984
5,8,2,0
5,8,3,0
5,8,4,0
5,8,5,0
5,8,6,0
5,8,7,0
5,8,8,0
5,8,9,0
5,8,10,0
5,8,11,0
6,1,1,0
6,1,2,0
6,1,3,0
6,1,4,0
6,1,5,0
6,1,6,0
6,1,7,0
6,1,8,0
6,1,9,0
6,1,10,0
6,1,11,0
6,2,1,0.00530633
6,2,2,0.00334764
6,2,3,0.00327095
6,2,4,0.00301913
6,2,5,0.00211888
6,2,6,0.000676076
6,2,7,0
6,2,8,0
6,2,9,0
6,2,10,0
6,2,11,0
6,3,1,0.0352022
6,3,2,0.0264452
6,3,3,0.0198391
6,3,4,0.0213918
6,3,5,0.0204899
6,3,6,0.0151909
6,3,7,0.0110158
6,3,8,0.00766371
6,3,9,0.000656301
6,3,10,0
6,3,11,0
6,4,1,0.065412
6,4,2,0.0501875
6,4,3,0.039234
6,4,4,0.0355465
6,4,5,0.0398852
