data,rec,gen,rec/gen,data*gen/rec
0.0,0.0,0.0,nan,nan
18939634.0,82296432.0,139300403.0,0.5907838759088155,32058481.573933873
16228534.0,77057846.0,128804456.0,0.5982545044870187,27126471.891616385
12084054.0,59949270.0,104420212.0,0.5741155744828406,21048120.861178927
11988399.0,61719098.0,111852831.0,0.551788429923602,21726441.421868626
12330751.0,66326752.0,125238394.0,0.5296039807089828,23282965.100626275
6912051.0,38640805.0,73420394.0,0.5262952552393004,13133409.30055919
3324953.0,18128886.0,30364375.0,0.5970445958462837,5569019.505631786
17276937.0,78352049.0,112425177.0,0.6969261787330786,24790196.61939982
16121109.0,78792303.0,109504711.0,0.7195334545926522,22404947.118305437
17638377.0,89589820.0,125161463.0,0.7157939660708504,24641695.566143017
10525916.0,54891760.0,76588384.0,0.7167112965851323,14686410.065185448
13707470.0,71292579.0,94868807.0,0.7514859863263591,18240486.515269563
14943160.0,72327671.0,93852916.0,0.7706491612897781,19390353.9387375
9877758.0,51701980.0,63811299.0,0.8102323696623069,12191265.579918642
19115139.0,100604618.0,118881620.0,0.8462588077114023,22587816.90165734
16167844.0,86238735.0,97054676.0,0.8885582699796968,18195592.282731697
0.0,15998.0,0.0,nan,0.0
26150633.0,126654910.0,414586676.0,0.3054968172686765,85600345.1486082
6358390.0,39175722.0,232485998.0,0.1685078771926729,37733488.22577462
1559438.0,11374481.0,71568569.0,0.15893123418466004,9812029.762432413
