# ix,iz,iPt,ratio_corr
4,7,3,0.0595548
4,7,4,0.0563836
4,7,5,0.0635806
4,7,6,0.0736109
4,7,7,0.0862549
4,7,8,0.0920214
4,7,9,0.0781947
4,7,10,0
4,7,11,0
4,8,1,0.0869353
4,8,2,0.0626962
4,8,3,0.0517147
4,8,4,0.0488572
4,8,5,0.0266744
4,8,6,0
4,8,7,0
4,8,8,0
4,8,9,0
4,8,10,0
4,8,11,0
5,1,1,2.02612e-05
5,1,2,2.22515e-05
5,1,3,2.09093e-05
5,1,4,2.15806e-05
5,1,5,0
5,1,6,0
5,1,7,0
5,1,8,0
5,1,9,0
5,1,10,0
5,1,11,0
5,2,1,0.0129099
5,2,2,0.01107
5,2,3,0.0117229
5,2,4,0.0107582
5,2,5,0.00785643
5,2,6,0.00392653
5,2,7,0.00121617
5,2,8,0
5,2,9,0
5,2,10,0
5,2,11,0
5,3,1,0.0374158
5,3,2,0.0351499
5,3,3,0.034256
5,3,4,0.0374807
5,3,5,0.0361328
5,3,6,0.0286609
5,3,7,0.023461
5,3,8,0.0172681
5,3,9,0.00951297
5,3,10,0.0016532
5,3,11,0
5,4,1,0.0558062
5,4,2,0.0488736
5,4,3,0.0459727
5,4,4,0.0487708
5,4,5,0.055001
5,4,6,0.0549595
5,4,7,0.0503131
5,4,8,0.0456847
5,4,9,0.0433809
5,4,10,0.0465188
5,4,11,0.0238958
5,5,1,0.0770849
5,5,2,0.0536238
5,5,3,0.0497062
5,5,4,0.0508831
5,5,5,0.0592279
5,5,6,0.0700597
5,5,7,0.0727813
5,5,8,0.0738447
5,5,9,0.0757479
5,5,10,0.0734029
5,5,11,0.0055614
5,6,1,0.100003
5,6,2,0.0659984
5,6,3,0.0557502
5,6,4,0.05454
5,6,5,0.0611045
5,6,6,0.0767981
5,6,7,0.0921721
5,6,8,0.100283
5,6,9,0.0977039
5,6,10,0.00964577
5,6,11,0
5,7,1,0.132338
5,7,2,0.086329
5,7,3,0.0675078
5,7,4,0.0600932
5,7,5,0.0653899
5,7,6,0.0722728
5,7,7,0.0636497
5,7,8,0.0105809
5,7,9,0
5,7,10,0
5,7,11,0
5,8,1,0.0447686
5,8,2,0
5,8,3,0
5,8,4,0
5,8,5,0
5,8,6,0
5,8,7,0
5,8,8,0
5,8,9,0
5,8,10,0
