# ix,iz,iPt,ratio_corr
4,7,4,0.0553686
4,7,5,0.0617665
4,7,6,0.0713974
4,7,7,0.0786343
4,7,8,0.070446
4,7,9,0.0533736
4,7,10,0
4,7,11,0
4,8,1,0.0836306
4,8,2,0.0624523
4,8,3,0.0475954
4,8,4,0.0489841
4,8,5,0.0268491
4,8,6,0
4,8,7,0
4,8,8,0
4,8,9,0
4,8,10,0
4,8,11,0
5,1,1,1.57835e-05
5,1,2,1.97937e-05
5,1,3,2.62879e-05
5,1,4,0
5,1,5,0
5,1,6,0
5,1,7,0
5,1,8,0
5,1,9,0
5,1,10,0
5,1,11,0
5,2,1,0.0125272
5,2,2,0.0112015
5,2,3,0.0114634
5,2,4,0.0102739
5,2,5,0.00754851
5,2,6,0.00372721
5,2,7,0.000406198
5,2,8,0
5,2,9,0
5,2,10,0
5,2,11,0
5,3,1,0.0379052
5,3,2,0.0352585
5,3,3,0.0338786
5,3,4,0.0363243
5,3,5,0.035251
5,3,6,0.0278039
5,3,7,0.0224325
5,3,8,0.0161561
5,3,9,0.00625269
5,3,10,0.0012181
5,3,11,0
5,4,1,0.0449894
5,4,2,0.0483947
5,4,3,0.0452202
5,4,4,0.047771
5,4,5,0.0544953
5,4,6,0.0538173
5,4,7,0.048181
5,4,8,0.0432246
5,4,9,0.0372875
5,4,10,0.0382449
5,4,11,0.00801663
5,5,1,0.0776925
5,5,2,0.0537547
5,5,3,0.0487871
5,5,4,0.0499439
5,5,5,0.0585031
5,5,6,0.0675445
5,5,7,0.0705626
5,5,8,0.0720811
5,5,9,0.0730322
5,5,10,0.0658393
5,5,11,0.0055614
5,6,1,0.09952
5,6,2,0.0653889
5,6,3,0.055483
5,6,4,0.0531116
5,6,5,0.0604284
5,6,6,0.0743355
5,6,7,0.0889135
5,6,8,0.0956564
5,6,9,0.0845696
5,6,10,0.0096316
5,6,11,0
5,7,1,0.130995
5,7,2,0.0843054
5,7,3,0.0654334
5,7,4,0.0586072
5,7,5,0.0647668
5,7,6,0.0592575
5,7,7,0.0403691
5,7,8,0.0106647
5,7,9,0
5,7,10,0
5,7,11,0
5,8,1,0.0438978
5,8,2,0
5,8,3,0
5,8,4,0
5,8,5,0
5,8,6,0
5,8,7,0
5,8,8,0
5,8,9,0
5,8,10,0
5,8,11,0
6,1,1,0
6,1,2,0
6,1,3,0
6,1,4,0
6,1,5,0
6,1,6,0
6,1,7,0
6,1,8,0
6,1,9,0
6,1,10,0
6,1,11,0
6,2,1,0.00433071
6,2,2,0.0027988
6,2,3,0.0025767
6,2,4,0.00237951
6,2,5,0.00165329
6,2,6,0.000208936
6,2,7,0
6,2,8,0
6,2,9,0
6,2,10,0
6,2,11,0
6,3,1,0.0244615
6,3,2,0.0217523
6,3,3,0.0160025
6,3,4,0.0171125
6,3,5,0.016491
6,3,6,0.0122047
6,3,7,0.00809482
6,3,8,0.00501175
6,3,9,0.000649747
6,3,10,0
6,3,11,0
6,4,1,0.0449363
6,4,2,0.0410143
6,4,3,0.0321265
6,4,4,0.0287718
6,4,5,0.0330502
6,4,6,0.0338419
6,4,7,0.029598
6,4,8,0.0273753
6,4,9,0.0115873
6,4,10,0
6,4,11,0
6,5,1,0.0697185
6,5,2,0.0533882
6,5,3,0.0457495
6,5,4,0.0410497
6,5,5,0.0445446
6,5,6,0.0522713
6,5,7,0.0538226
6,5,8,0.0523264
6,5,9,0.0220424
6,5,10,0
6,5,11,0
6,6,1,0.115329
6,6,2,0.0724922
6,6,3,0.0578849
6,6,4,0.0529181
6,6,5,0.0583289
6,6,6,0.0699172
6,6,7,0.0716883
6,6,8,0.0383003
6,6,9,0
6,6,10,0
6,6,11,0
6,7,1,0.144638
6,7,2,0.0920432
6,7,3,0.0596413
6,7,4,0.0495983
6,7,5,0.0319784
6,7,6,0
6,7,7,0
6,7,8,0
6,7,9,0
6,7,10,0
6,7,11,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
6,8,5,0
6,8,6,0
6,8,7,0
6,8,8,0
6,8,9,0
6,8,10,0
6,8,11,0
7,1,1,0
7,1,2,0
7,1,3,0
7,1,4,0
7,1,5,0
7,1,6,0
7,1,7,0
7,1,8,0
7,1,9,0
7,1,10,0
7,1,11,0
7,2,1,0.000419569
7,2,2,0.000178706
7,2,3,0.000160019
7,2,4,0.000125932
7,2,5,0
7,2,6,0
7,2,7,0
7,2,8,0
7,2,9,0
7,2,10,0
7,2,11,0
7,3,1,0.0142594
7,3,2,0.00847265
7,3,3,0.00539829
7,3,4,0.00616351
7,3,5,0.00682762
7,3,6,0.00415586
7,3,7,0.00165412
7,3,8,0
7,3,9,0
7,3,10,0
7,3,11,0
7,4,1,0.0400684
7,4,2,0.023544
7,4,3,0.0155215
7,4,4,0.0147891
7,4,5,0.019132
7,4,6,0.022591
7,4,7,0.00896137
7,4,8,0
7,4,9,0
7,4,10,0
7,4,11,0
7,5,1,0.0731872
7,5,2,0.0413703
7,5,3,0.0291893
7,5,4,0.0245503
7,5,5,0.0251965
7,5,6,0.0289645
7,5,7,0
7,5,8,0
7,5,9,0
7,5,10,0
7,5,11,0
7,6,1,0.116397
7,6,2,0.0710563
7,6,3,0.0464347
7,6,4,0.0224952
7,6,5,0.00347781
7,6,6,0
7,6,7,0
7,6,8,0
7,6,9,0
7,6,10,0
7,6,11,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,7,5,0
7,7,6,0
7,7,7,0
7,7,8,0
7,7,9,0
7,7,10,0
7,7,11,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
7,8,5,0
7,8,6,0
7,8,7,0
7,8,8,0
7,8,9,0
7,8,10,0
7,8,11,0
8,1,1,0
8,1,2,0
8,1,3,0
8,1,4,0
8,1,5,0
8,1,6,0
8,1,7,0
8,1,8,0
8,1,9,0
8,1,10,0
8,1,11,0
8,2,1,0
8,2,2,0
8,2,3,0
8,2,4,0
8,2,5,0
8,2,6,0
8,2,7,0
8,2,8,0
8,2,9,0
8,2,10,0
8,2,11,0
8,3,1,0.00578038
8,3,2,0.00368311
8,3,3,0.00178984
8,3,4,0.00188651
8,3,5,0.00197616
8,3,6,0
8,3,7,0
8,3,8,0
8,3,9,0
8,3,10,0
8,3,11,0
8,4,1,0.0252351
8,4,2,0.013034
8,4,3,0.00981255
8,4,4,0.00761049
8,4,5,0.0078533
8,4,6,0
8,4,7,0
8,4,8,0
8,4,9,0
8,4,10,0
8,4,11,0
8,5,1,0.0569389
8,5,2,0.0220934
8,5,3,0.0141213
8,5,4,0.00271431
8,5,5,0
8,5,6,0
8,5,7,0
8,5,8,0
8,5,9,0
8,5,10,0
8,5,11,0
8,6,1,0.0609623
8,6,2,0
8,6,3,0
8,6,4,0
8,6,5,0
8,6,6,0
8,6,7,0
8,6,8,0
8,6,9,0
8,6,10,0
8,6,11,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,7,5,0
8,7,6,0
8,7,7,0
8,7,8,0
8,7,9,0
8,7,10,0
8,7,11,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
8,8,5,0
8,8,6,0
8,8,7,0
8,8,8,0
8,8,9,0
8,8,10,0
8,8,11,0
9,1,1,0.0010301
9,1,2,0.00360858
9,1,3,0.00599647
9,1,4,0.00687858
9,1,5,0.00549915
9,1,6,0.00109122
9,1,7,0
9,1,8,0
9,1,9,0
9,1,10,0
9,1,11,0
9,2,1,0.0141061
9,2,2,0.0379233
9,2,3,0.050512
9,2,4,0.0612183
9,2,5,0.0662971
9,2,6,0.0661428
9,2,7,0.051856
9,2,8,0.0315692
9,2,9,0.0109241
9,2,10,0.000146404
9,2,11,0
9,3,1,0.0255928
9,3,2,0.0297055
9,3,3,0.0520808
9,3,4,0.0637293
9,3,5,0.0758741
9,3,6,0.088718
9,3,7,0.104548
9,3,8,0.112327
9,3,9,0.108007
9,3,10,0.0862651
9,3,11,0.0346094
9,4,1,0.0248228
9,4,2,0.0378671
9,4,3,0.0485773
9,4,4,0.0572193
9,4,5,0.0733042
9,4,6,0.0892564
9,4,7,0.0998545
9,4,8,0.112396
9,4,9,0.123612
9,4,10,0.131143
9,4,11,0.139992
9,5,1,0.0300155
9,5,2,0.0404501
9,5,3,0.0477899
9,5,4,0.055647
9,5,5,0.0678751
9,5,6,0.0843846
9,5,7,0.095309
9,5,8,0.107183
9,5,9,0.116679
9,5,10,0.126852
9,5,11,0.150372
9,6,1,0.0365836
9,6,2,0.0439903
9,6,3,0.0484359
9,6,4,0.0538021
9,6,5,0.0639724
9,6,6,0.0759793
9,6,7,0.0873078
9,6,8,0.0989604
9,6,9,0.111289
9,6,10,0.126801
9,6,11,0.142656
9,7,1,0.0439378
9,7,2,0.0491937
9,7,3,0.0516941
9,7,4,0.0561504
9,7,5,0.0646685
9,7,6,0.0742278
9,7,7,0.0854023
9,7,8,0.0990861
