xq2_bin,z_bin,pt2_bin,phi_content_sum,phi_bin_count,phi_error_sum,z_bin0,pt2_bin0
1,2,11,71320.0,8,33.5974,1,10
1,3,1,3001269.0,8,491.51675307765447,2,0
1,3,2,2396209.0,8,425.7233201087885,2,1
1,3,3,1881140.0,8,375.32192134684857,2,2
1,3,4,1462799.0,8,339.89671131867397,2,3
1,3,5,2000938.0,8,432.10892714029876,2,4
1,3,6,1186518.0,8,332.51950445425,2,5
1,3,7,714717.0,8,257.7636169351098,2,6
1,3,8,590075.0,8,226.27311990811015,2,7
1,3,9,298568.0,8,144.9283455665937,2,8
1,3,10,190703.0,8,92.46884967155155,2,9
1,3,11,113022.0,8,46.29001057340234,2,10
1,4,1,1634750.0,8,346.09492048989966,3,0
1,4,2,1334440.0,8,284.1231104963304,3,1
1,4,3,1079378.0,8,261.11149365347745,3,2
1,4,4,868064.0,8,247.50652089959164,3,3
1,4,5,1248656.0,8,327.1661398954054,3,4
1,4,6,788515.0,8,278.3152861392094,3,5
1,4,7,495614.0,8,226.77083633095327,3,6
1,4,8,418984.0,8,214.73980194852095,3,7
1,4,9,211240.0,8,153.02701224956985,3,8
1,4,10,133455.0,8,120.5536066410292,3,9
1,4,11,84068.0,8,87.52329708631868,3,10
1,5,1,935200.0,8,240.2315025994093,4,0
1,5,2,775746.0,8,209.06462805225087,4,1
1,5,3,639192.0,8,192.73141163476078,4,2
1,5,4,525479.0,8,181.41066973441778,4,3
1,5,5,781002.0,8,248.19034159254144,4,4
1,5,6,516854.0,8,218.27984570058067,4,5
1,5,7,338878.0,8,184.89257486734832,4,6
1,5,8,300086.0,8,181.57714117662388,4,7
1,5,9,156438.0,8,132.71571337106244,4,8
1,5,10,96804.0,8,107.02706224908727,4,9
1,5,11,54480.0,8,81.97234890022366,4,10
1,6,1,497855.0,8,183.80100704547297,5,0
1,6,2,418417.0,8,156.3569458418461,5,1
1,6,3,349205.0,8,145.74624450162995,5,2
1,6,4,290906.0,8,131.78146832810143,5,3
1,6,5,441840.0,8,178.35404904262757,5,4
1,6,6,299169.0,8,156.56825743773862,5,5
1,6,7,200699.0,8,137.73033891739323,5,6
1,6,8,179018.0,8,136.80339583621455,5,7
1,6,9,92307.0,8,99.26101530229327,5,8
1,6,10,54685.0,8,79.55248733684007,5,9
1,6,11,24171.0,8,53.55867721477912,5,10
1,7,1,213920.0,8,126.69202019026297,6,0
1,7,2,176352.0,8,107.22211303477889,6,1
1,7,3,148465.0,8,94.92775103637764,6,2
1,7,4,122530.0,8,86.69242780739273,6,3
1,7,5,183448.0,8,112.83990036351015,6,4
1,7,6,121155.0,8,96.67025172125084,6,5
1,7,7,77720.0,8,80.15883823478232,6,6
1,7,8,63045.0,8,75.71480004226386,6,7
1,7,9,26019.0,8,48.85805509422167,6,8
1,7,10,10219.0,8,30.78748287613003,6,9
1,7,11,1816.0,8,10.744275779246362,6,10
1,8,1,43352.0,8,55.33066922517746,7,0
1,8,2,32591.0,8,45.16120304680224,7,1
1,8,3,23840.0,8,35.89340355291624,7,2
1,8,4,17528.0,8,28.942830861890478,7,3
1,8,5,19431.0,8,32.383623238342246,7,4
1,8,6,8083.0,8,19.261806136468614,7,5
1,8,7,2702.0,8,7.954233425918553,7,6
1,8,8,807.0,8,0.0,7,7
1,8,9,28.0,8,0.0,7,8
1,8,10,0.0,8,0.0,7,9
1,8,11,0.0,8,0.0,7,10
2,1,1,52331350.0,8,288.75102127999475,0,0
2,1,2,21715910.0,8,155.92799274027098,0,1
2,1,3,10780160.0,8,97.36949457273566,0,2
2,1,4,5865627.0,8,63.21095054759104,0,3
2,1,5,5390330.0,8,46.11472701492441,0,4
2,1,6,1952465.0,8,9.165474301278685,0,5
2,1,7,704446.0,8,0.0,0,6
2,1,8,273899.0,8,0.0,0,7
2,1,9,35202.0,8,0.0,0,8
2,1,10,2197.0,8,0.0,0,9
2,1,11,2.0,8,0.0,0,10
2,2,1,5335066.0,8,727.2133393956686,1,0
2,2,2,4062710.0,8,477.05079057289066,1,1
2,2,3,3027148.0,8,371.9307392437603,1,2
2,2,4,2226638.0,8,291.23385584066284,1,3
2,2,5,2857485.0,8,294.4005219222955,1,4
2,2,6,1609279.0,8,170.51430042706096,1,5
2,2,7,936980.0,8,91.85135395386177,1,6
2,2,8,720384.0,8,51.962039651437856,1,7
2,2,9,276523.0,8,8.149311644310824,1,8
2,2,10,91138.0,8,0.0,1,9
2,2,11,10829.0,8,0.0,1,10
2,3,1,2576954.0,8,548.0831730555957,2,0
2,3,2,2052598.0,8,405.3939162817444,2,1
2,3,3,1617161.0,8,335.294097597706,2,2
2,3,4,1257980.0,8,302.86493566840977,2,3
2,3,5,1721364.0,8,366.805029229385,2,4
2,3,6,1016299.0,8,262.0492933539222,2,5
2,3,7,605062.0,8,185.99776451971135,2,6
2,3,8,499357.0,8,151.96010007541454,2,7
2,3,9,243822.0,8,82.83592948859813,2,8
2,3,10,132625.0,8,43.391904095464625,2,9
2,3,11,39843.0,8,9.97665566566773,2,10
2,4,1,1504850.0,8,384.50354800213483,3,0
2,4,2,1229020.0,8,300.50843050605084,3,1
2,4,3,993582.0,8,258.1949029046468,3,2
2,4,4,798701.0,8,242.60342112919594,3,3
2,4,5,1138116.0,8,319.1859603574224,3,4
