xq2_bin,z_bin,pt2_bin,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0
2,4,11,1855.52625,8,14844.21,3,10
2,5,1,13524.3125,8,108194.5,4,0
2,5,2,13771.575,4,55086.3,4,1
2,5,3,10353.636,5,51768.18,4,2
2,5,4,8976.761666666667,6,53860.57,4,3
2,5,5,13753.65,6,82521.9,4,4
2,5,6,10239.606666666667,6,61437.64,4,5
2,5,7,7303.68,6,43822.08,4,6
2,5,8,6713.240000000001,6,40279.44,4,7
2,5,9,3617.6785714285716,7,25323.75,4,8
2,5,10,2425.1262500000003,8,19401.010000000002,4,9
2,5,11,1347.1485,8,10777.188,4,10
2,6,1,8373.24375,8,66985.95,5,0
2,6,2,7185.936,5,35929.68,5,1
2,6,3,7292.762,5,36463.81,5,2
2,6,4,5335.716,5,26678.58,5,3
2,6,5,8971.071666666665,6,53826.42999999999,5,4
2,6,6,6129.211666666667,6,36775.270000000004,5,5
2,6,7,4879.428333333333,6,29276.57,5,6
2,6,8,4765.541666666667,6,28593.25,5,7
2,6,9,2615.186666666667,6,15691.12,5,8
2,6,10,1762.9871428571428,7,12340.91,5,9
2,6,11,883.4638749999999,8,7067.710999999999,5,10
2,7,1,4751.16375,8,38009.31,6,0
2,7,2,4830.38,5,24151.9,6,1
2,7,3,4847.245,4,19388.98,6,2
2,7,4,3258.55,4,13034.2,6,3
2,7,5,5234.2699999999995,5,26171.35,6,4
2,7,6,3675.6279999999997,5,18378.14,6,5
2,7,7,2684.9416666666666,6,16109.65,6,6
2,7,8,2232.366666666667,6,13394.2,6,7
2,7,9,1014.4441666666667,6,6086.665,6,8
2,7,10,466.8392,5,2334.196,6,9
2,7,11,156.127,2,312.254,6,10
2,8,1,1749.31,8,13994.48,7,0
2,8,2,1141.8266666666666,3,3425.48,7,1
2,8,3,992.2353333333334,3,2976.706,7,2
2,8,4,825.8283333333334,3,2477.485,7,3
2,8,5,1168.151,5,5840.755,7,4
2,8,6,750.145,3,2250.435,7,5
2,8,7,267.594,1,267.594,7,6
3,1,1,1227598.3333333333,6,7365590.0,0,0
3,1,2,639302.25,8,5114418.0,0,1
3,1,3,335793.5714285714,7,2350555.0,0,2
3,1,4,216687.5,4,866750.0,0,3
3,1,5,171943.4,5,859717.0,0,4
3,2,1,121036.3625,8,968290.9,1,0
3,2,2,95834.2375,8,766673.9,1,1
3,2,3,68450.4,8,547603.2,1,2
3,2,4,49894.45,8,399155.6,1,3
3,2,5,65157.2,8,521257.6,1,4
3,2,6,37438.9875,8,299511.9,1,5
3,2,7,19382.333333333332,6,116294.0,1,6
3,2,8,16196.6,3,48589.8,1,7
3,3,1,49261.9375,8,394095.5,2,0
3,3,2,37260.85,8,298086.8,2,1
3,3,3,30701.975,8,245615.8,2,2
3,3,4,26059.9125,8,208479.3,2,3
3,3,5,33916.7875,8,271334.3,2,4
3,3,6,20598.8125,8,164790.5,2,5
3,3,7,12029.245,8,96233.96,2,6
3,3,8,9393.50375,8,75148.03,2,7
3,3,9,4627.107142857143,7,32389.75,2,8
3,3,10,1929.852,5,9649.26,2,9
3,4,1,21893.0625,8,175144.5,3,0
3,4,2,18601.175,8,148809.4,3,1
3,4,3,15160.733333333332,6,90964.4,3,2
3,4,4,13671.9,7,95703.3,3,3
3,4,5,19400.0375,8,155200.3,3,4
3,4,6,12806.5625,8,102452.5,3,5
3,4,7,8187.18125,8,65497.45,3,6
3,4,8,6959.33375,8,55674.67,3,7
3,4,9,3394.4375,8,27155.5,3,8
3,4,10,1909.2350000000001,8,15273.880000000001,3,9
3,4,11,480.2966,5,2401.483,3,10
3,5,1,12201.95,8,97615.6,4,0
3,5,2,9531.285,8,76250.28,4,1
3,5,3,7776.124285714286,7,54432.87,4,2
3,5,4,7749.993333333333,6,46499.96,4,3
3,5,5,11539.95,8,92319.6,4,4
3,5,6,8389.57,7,58726.99,4,5
3,5,7,5798.620000000001,7,40590.340000000004,4,6
3,5,8,5381.910000000001,7,37673.37,4,7
3,5,9,2826.9742857142855,7,19788.82,4,8
3,5,10,1526.4557142857143,7,10685.19,4,9
3,5,11,473.637625,8,3789.101,4,10
3,6,1,7291.6849999999995,8,58333.479999999996,5,0
3,6,2,6438.943333333334,6,38633.66,5,1
3,6,3,5470.1575,4,21880.63,5,2
3,6,4,4839.144,5,24195.72,5,3
3,6,5,7622.294999999999,6,45733.77,5,4
3,6,6,5387.401666666667,6,32324.41,5,5
3,6,7,3605.0833333333335,6,21630.5,5,6
3,6,8,3394.3716666666664,6,20366.23,5,7
3,6,9,1474.8183333333334,6,8848.91,5,8
3,6,10,690.1491666666667,6,4140.895,5,9
3,6,11,180.85699999999997,3,542.5709999999999,5,10
3,7,1,4374.535,8,34996.28,6,0
3,7,2,3581.2166666666667,6,21487.3,6,1
3,7,3,3078.2799999999997,5,15391.4,6,2
3,7,4,2714.7175,4,10858.87,6,3
3,7,5,3804.4440000000004,5,19022.22,6,4
3,7,6,2249.8766666666666,6,13499.26,6,5
3,7,7,1304.2016666666666,6,7825.21,6,6
3,7,8,784.9768333333333,6,4709.861,6,7
3,7,9,207.28833333333333,3,621.865,6,8
3,8,1,760.875875,8,6087.007,7,0
3,8,2,500.04125,4,2000.165,7,1
3,8,3,335.1773333333333,3,1005.5319999999999,7,2
3,8,4,184.737,2,369.474,7,3
3,8,5,114.957,2,229.914,7,4
4,1,1,2324080.0,5,11620400.0,0,0
4,1,2,1751775.25,4,7007101.0,0,1
4,1,4,213763.5,2,427527.0,0,3
4,2,1,128070.75,8,1024566.0,1,0
4,2,2,106722.5875,8,853780.7,1,1
4,2,3,79917.8625,8,639342.9,1,2
4,2,4,57160.2875,8,457282.3,1,3
4,2,5,73902.2875,8,591218.3,1,4
4,2,6,40615.98333333333,6,243695.9,1,5
4,2,7,18220.6,4,72882.4,1,6
4,3,1,52377.175,8,419017.4,2,0
4,3,2,43822.8,8,350582.4,2,1
4,3,3,36414.5375,8,291316.3,2,2
4,3,4,27677.6625,8,221421.3,2,3
4,3,5,37605.425,8,300843.4,2,4
