xq2_bin,z_bin,pt2_bin,m1_content,m1_error,m2_content,m2_error,m3_content,m3_error,ref_x,ref_y,ref_eyl,ref_eyh,pt2_center,z_center,scale_content,scale_acc,bin_width,scale_factor,m2_minus_m1,ref_minus_m1,ref_minus_m2
1,2,6,1.8164318344119728,0.017334627970064492,0.2270539793014966,0.0021668284962580615,1.867755393344669,0.015376813165211802,0.345124,1.92103,0.103101,0.103101,0.35,0.25,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-1.5893778551104762,0.10459816558802726,1.6939760206985035
1,2,7,1.0153420434066978,0.01286367806440915,0.12691775542583722,0.0016079597580511437,1.0337491648816306,0.01170721550224096,0.443954,1.0363,0.0561791,0.0561791,0.45,0.25,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.8884242879808606,0.02095795659330224,0.9093822445741628
1,2,8,0.49789138798851384,0.008811991363117062,0.06223642349856423,0.0011014989203896328,0.49649314272507555,0.008251820708894814,0.559167,0.496303,0.0349029,0.0349029,0.575,0.25,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.4356549644899496,-0.0015883879885138508,0.43406657650143576
1,2,9,0.2237386484967855,0.008463157740403909,0.02796733106209819,0.0010578947175504886,0.2197673527883043,0.007219262031743003,0.703579,0.196403,0.013652,0.013652,0.7250000000000001,0.25,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.19577131743468731,-0.02733564849678552,0.1684356689379018
1,2,10,0.04507329062391856,0.006630695996809234,0.00563416132798982,0.0008288369996011542,0.06810185373537217,0.009811169854784592,0.836179,0.0759427,0.0362831,0.0362831,0.9,0.25,32470944.237810403,0.5904129849247507,0.02,2.60806965502604e-06,-0.039439129295928736,0.030869409376081444,0.07030853867201019
1,3,2,2.9711690301625664,0.06602649453894496,0.3713961287703208,0.00825331181736812,4.294003527428933,0.08055580575222207,0.0756148,4.01394,0.565112,0.565112,0.07500000000000001,0.35,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-2.5997729013922455,1.0427709698374334,3.642543871229679
1,3,3,3.393509798153597,0.1208976015502494,0.4241887247691996,0.015112200193781174,3.3637979090904158,0.05197034746131999,0.125302,3.45129,0.316743,0.316743,0.125,0.35,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-2.969321073384397,0.05778020184640331,3.0271012752308004
1,3,4,2.655472320284976,0.062381803625759416,0.33193404003562194,0.007797725453219927,2.730013270810588,0.03193730694340601,0.174821,2.78657,0.187216,0.187216,0.175,0.35,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-2.323538280249354,0.13109767971502428,2.4546359599643783
1,3,5,1.7895040493028953,0.026658111791722054,0.2236880061628619,0.0033322639739652568,1.9211001824841227,0.01661014232796268,0.247832,2.00195,0.110308,0.110308,0.25,0.35,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-1.5658160431400334,0.2124459506971046,1.778261993837138
1,3,6,1.1169849342636835,0.014739653602200519,0.13962311678296047,0.0018424567002750648,1.2009314239176008,0.0111259608997223,0.347079,1.22358,0.0610624,0.0610624,0.35,0.35,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.977361817480723,0.10659506573631639,1.0839568832170394
1,3,7,0.6664691017625916,0.00852665015475187,0.08330863772032394,0.0010658312693439837,0.7147464775186382,0.0072001686608821865,0.446904,0.722724,0.0359806,0.0359806,0.45,0.35,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.5831604640422676,0.05625489823740848,0.6394153622796761
1,3,8,0.36339589782522685,0.004494919053578103,0.04542448722815336,0.0005618648816972629,0.38212586602750065,0.004026518888812135,0.56772,0.378812,0.0187265,0.0187265,0.575,0.35,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.3179714105970735,0.015416102174773127,0.33338751277184664
1,3,9,0.1731330271830365,0.0029128910939952555,0.021641628397879562,0.00036411138674940694,0.18090426417917102,0.002703612360652101,0.71653,0.177811,0.0103538,0.0103538,0.7250000000000001,0.35,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.15149139878515694,0.004677972816963499,0.15616937160212044
1,3,10,0.08063733067380809,0.0018106315928377976,0.01007966633422601,0.0002263289491047247,0.07969303370316828,0.001574839237735421,0.882122,0.0756031,0.00435532,0.00435532,0.9,0.35,32470944.237810403,0.5904129849247507,0.02,2.60806965502604e-06,-0.07055766433958208,-0.005034230673808079,0.065523433665774
1,4,2,1.2766619046021743,0.05538753474188872,0.1595827380752718,0.00692344184273609,2.1023346167353485,0.03972231011011608,0.0756316,2.08278,0.20114,0.20114,0.07500000000000001,0.45,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-1.1170791665269024,0.8061180953978258,1.9231972619247282
1,4,3,1.3127323591634834,0.07497816075300467,0.16409154489543543,0.009372270094125583,1.718426615423487,0.033977772111889154,0.125388,1.79273,0.128365,0.128365,0.125,0.45,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-1.148640814268048,0.4799976408365165,1.6286384551045645
1,4,4,1.0282037452010726,0.024623266157668487,0.1285254681501341,0.0030779082697085605,1.3989558005361569,0.024696665549994803,0.175035,1.48978,0.129566,0.129566,0.175,0.45,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.8996782770509385,0.4615762547989275,1.3612545318498661
1,4,5,0.8067110387139718,0.01076809789129775,0.10083887983924647,0.0013460122364122187,1.1028494095937995,0.011653827071183719,0.248868,1.13882,0.0876613,0.0876613,0.25,0.45,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.7058721588747253,0.3321089612860282,1.0379811201607534
1,4,6,0.6164844484779524,0.016368902453701345,0.07706055605974405,0.002046112806712668,0.7380217132912613,0.00866373505722375,0.347859,0.754552,0.0442357,0.0442357,0.35,0.45,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.5394238924182083,0.13806755152204764,0.677491443940256
1,4,7,0.4580258479484999,0.011463789185965065,0.05725323099356249,0.0014329736482456335,0.49168687363214497,0.006299856550206882,0.447382,0.494801,0.0292504,0.0292504,0.45,0.45,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.4007726169549374,0.036775152051500115,0.4375477690064375
1,4,8,0.2778961375478822,0.004620391543787522,0.03473701719348528,0.0005775489429734402,0.3017580224657452,0.00346811140519224,0.569048,0.297022,0.0144511,0.0144511,0.575,0.45,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.24315912035439696,0.01912586245211778,0.26228498280651474
1,4,9,0.14445374341361777,0.0026694584086588663,0.018056717926702222,0.00033368230108235823,0.15592122278531723,0.0023148769315850114,0.718587,0.150629,0.00751327,0.00751327,0.7250000000000001,0.45,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.12639702548691556,0.006175256586382238,0.1325722820732978
1,4,10,0.06846449987011638,0.0014336873810404654,0.008558062483764547,0.00017921092263005817,0.07392830751893477,0.001358783739646849,0.888867,0.070086,0.00345438,0.00345438,0.9,0.45,32470944.237810403,0.5904129849247507,0.02,2.60806965502604e-06,-0.05990643738635183,0.0016215001298836157,0.06152793751623545
1,5,2,0.620795059267266,0.05549659840373199,0.07759938240840825,0.006937074800466499,1.1008222415392053,0.0282770427173069,0.0753546,1.12463,0.148003,0.148003,0.07500000000000001,0.55,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.5431956768588577,0.503834940732734,1.0470306175915918
1,5,3,0.5422196258769159,0.018742140370101502,0.06777745323461448,0.002342767546262688,0.9034651736647467,0.02151940217545904,0.125125,0.941352,0.100334,0.100334,0.125,0.55,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.4744421726423014,0.3991323741230841,0.8735745467653855
1,5,4,0.5662908463550446,0.026238634275556623,0.07078635579438057,0.003279829284444578,0.8101284565187141,0.01833192633244492,0.175094,0.854336,0.0778205,0.0778205,0.175,0.55,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.495504490560664,0.2880451536449554,0.7835496442056195
1,5,5,0.45749713323611924,0.00924123113565134,0.057187141654514904,0.0011551538919564177,0.6537703125495883,0.009512660947584097,0.249267,0.654497,0.0545675,0.0545675,0.25,0.55,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.40030999158160435,0.19699986676388076,0.5973098583454851
1,5,6,0.32095624920574656,0.006156775756784341,0.04011953115071832,0.0007695969695980426,0.43809998532994926,0.007100848696504176,0.348327,0.455319,0.0321964,0.0321964,0.35,0.55,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.28083671805502824,0.13436275079425342,0.41519946884928166
1,5,7,0.2418634597868045,0.004433508337171753,0.030232932473350564,0.0005541885421464692,0.3331859264294569,0.005233759675845376,0.447455,0.330143,0.0208085,0.0208085,0.45,0.55,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.21163052731345394,0.0882795402131955,0.29991006752664945
1,5,8,0.15891479259411914,0.0027290283908636137,0.019864349074264893,0.0003411285488579517,0.2081432192905693,0.0030598465890512364,0.569279,0.207598,0.0122355,0.0122355,0.575,0.55,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.13905044351985424,0.04868320740588086,0.1877336509257351
1,5,9,0.11176515837122832,0.0033138806507813524,0.013970644796403538,0.0004142350813476691,0.12148968500637042,0.0020893266965133143,0.719324,0.116504,0.00751534,0.00751534,0.7250000000000001,0.55,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.09779451357482477,0.004738841628771681,0.10253335520359647
1,5,10,0.057108984374154625,0.0014484909012679819,0.007138623046769328,0.00018106136265849774,0.06432240763041326,0.0012713186106793012,0.88889,0.0583471,0.00426689,0.00426689,0.9,0.55,32470944.237810403,0.5904129849247507,0.02,2.60806965502604e-06,-0.0499703613273853,0.0012381156258453735,0.05120847695323067
1,6,2,0.22132370152086364,0.007392732213530681,0.027665462690107955,0.0009240915266913351,0.6036715788763184,0.01761196868360501,0.0753001,0.591382,0.0653965,0.0653965,0.07500000000000001,0.6499999999999999,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.1936582388307557,0.3700582984791363,0.563716537309892
1,6,3,0.44375379693366546,0.03007845571331897,0.05546922461670818,0.0037598069641648713,0.5467224978643684,0.015850722559128543,0.125082,0.556182,0.0525304,0.0525304,0.125,0.6499999999999999,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.3882845723169573,0.1124282030663345,0.5007127753832917
1,6,4,0.2862633375276469,0.011280106394681435,0.03578291719095586,0.0014100132993351794,0.4691654167664179,0.01315016065429763,0.174699,0.478988,0.0418444,0.0418444,0.175,0.6499999999999999,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.25048042033669105,0.19272466247235315,0.44320508280904414
1,6,5,0.27178263845052425,0.009278470118602984,0.03397282980631553,0.0011598087648253734,0.3883739693104137,0.007515263384597899,0.249216,0.394124,0.0309029,0.0309029,0.25,0.6499999999999999,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.23780980864420873,0.12234136154947572,0.3601511701936844
1,6,6,0.21465352544682575,0.005110885417587816,0.02683169068085322,0.000638860677198477,0.2897691626465096,0.005404403588893659,0.3489,0.280884,0.0295576,0.0295576,0.35,0.6499999999999999,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.18782183476597253,0.06623047455317427,0.2540523093191468
1,6,7,0.15304624408726447,0.003699016279438873,0.019130780510908055,0.0004623770349298591,0.21744131955432408,0.004244968142812225,0.448237,0.2068,0.0217669,0.0217669,0.45,0.6499999999999999,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.13391546357635642,0.05375375591273554,0.18766921948909196
1,6,8,0.10373107485386732,0.0022560566621114297,0.012966384356733415,0.0002820070827639287,0.14532074829558628,0.0025499004981696404,0.570233,0.138902,0.0123533,0.0123533,0.575,0.6499999999999999,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.0907646904971339,0.03517092514613268,0.12593561564326658
1,6,9,0.06518132863178729,0.0016201668388235674,0.00814766607897341,0.0002025208548529459,0.0889724103203605,0.0019566284260344176,0.719658,0.0852617,0.00801065,0.00801065,0.7250000000000001,0.6499999999999999,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.05703366255281388,0.02008037136821271,0.07711403392102659
1,6,10,0.035328629638943884,0.0009457984304083115,0.004416078704867985,0.00011822480380103894,0.04757284132352205,0.0010907390924933865,0.890306,0.0429835,0.00416621,0.00416621,0.9,0.6499999999999999,32470944.237810403,0.5904129849247507,0.02,2.60806965502604e-06,-0.0309125509340759,0.007654870361056117,0.038567421295132014
1,7,2,0.12996764531539767,0.004690872662086614,0.01624595566442471,0.0005863590827608268,0.3536702311899667,0.01174402629447945,0.0753321,0.346152,0.0533035,0.0533035,0.07500000000000001,0.75,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.11372168965097296,0.21618435468460234,0.3299060443355753
1,7,3,0.12732716203478686,0.00450519330034041,0.015915895254348358,0.0005631491625425512,0.3471933339391773,0.010756880635236828,0.124618,0.321428,0.0388702,0.0388702,0.125,0.75,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.1114112667804385,0.19410083796521313,0.30551210474565166
1,7,4,0.13726424517236233,0.010083893502095261,0.01715803064654529,0.0012604866877619077,0.2740449111408094,0.009012490700156545,0.174638,0.243943,0.0364733,0.0364733,0.175,0.75,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-0.12010621452581703,0.10667875482763767,0.2267849693534547
1,7,5,0.14010949445769164,0.004472184733796472,0.01751368680721145,0.000559023091724559,0.2286202039549266,0.00572893805678479,0.248802,0.222374,0.0256913,0.0256913,0.25,0.75,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.12259580765048018,0.08226450554230835,0.20486031319278852
1,7,6,0.11504788024527784,0.004373277865799778,0.01438098503065973,0.0005466597332249723,0.1650224304990059,0.003999371877376754,0.348778,0.159778,0.0176451,0.0176451,0.35,0.75,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.10066689521461811,0.04473011975472216,0.14539701496934027
1,7,7,0.09482518031518118,0.002978412799270558,0.01185314753939765,0.00037230159990881974,0.1271577963650932,0.003125577797876464,0.448064,0.115861,0.0134091,0.0134091,0.45,0.75,32470944.237810403,0.5904129849247507,0.01,5.21613931005208e-06,-0.08297203277578354,0.021035819684818824,0.10400785246060236
1,7,8,0.06190410364096528,0.0018023118092779734,0.00773801295512066,0.00022528897615974668,0.08350820671312174,0.0019893604222064013,0.570998,0.0781012,0.00831912,0.00831912,0.575,0.75,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.054166090685844624,0.016197096359034713,0.07036318704487933
1,7,9,0.038095782290863724,0.0012520339019890525,0.0047619727863579655,0.00015650423774863156,0.051256297330842214,0.0014201866850903706,0.719218,0.0448696,0.00530599,0.00530599,0.7250000000000001,0.75,32470944.237810403,0.5904129849247507,0.015,3.477426206701387e-06,-0.033333809504505756,0.006773817709136279,0.040107627213642034
1,7,10,0.018240851469663373,0.000724767006042034,0.0022801064337079216,9.059587575525425e-05,0.025176458227441495,0.000855430378559904,0.885998,0.0212195,0.00340543,0.00340543,0.9,0.75,32470944.237810403,0.5904129849247507,0.02,2.60806965502604e-06,-0.015960745035955452,0.0029786485303366257,0.018939393566292078
2,2,2,11.734468767929016,0.48912351699657886,1.466808595991127,0.06114043962457236,10.83791922795704,0.1650100374993294,0.0752621,10.4368,1.38958,1.38958,0.07500000000000001,0.25,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-10.267660171937889,-1.2976687679290162,8.969991404008873
2,2,3,7.869465837847493,0.12559186493265206,0.9836832297309366,0.015698983116581508,8.061325589750448,0.09580852322971942,0.124459,8.22299,0.711165,0.711165,0.125,0.25,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-6.885782608116556,0.3535241621525067,7.239306770269063
2,2,4,6.091119177853729,0.10171428249226803,0.7613898972317161,0.012714285311533506,6.138952829351592,0.06727936223576597,0.173906,6.17692,0.455638,0.455638,0.175,0.25,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-5.329729280622013,0.08580082214627094,5.415530102768284
2,2,5,3.6930304989628477,0.04087917278717277,0.46162881237035597,0.005109896598396596,3.7591112038785055,0.03734440720866293,0.244757,3.87055,0.225885,0.225885,0.25,0.25,26900867.69502277,0.5979512577774716,0.01,6.216814769604546e-06,-3.2314016865924917,0.17751950103715242,3.408921187629644
2,2,6,2.0362003327886837,0.02618036458681725,0.25452504159858547,0.003272545573352156,2.011689478604617,0.023823063267810345,0.343399,1.9931,0.126788,0.126788,0.35,0.25,26900867.69502277,0.5979512577774716,0.01,6.216814769604546e-06,-1.7816752911900982,-0.04310033278868364,1.7385749584014145
2,2,7,1.1666675868713519,0.024426528830843876,0.14583344835891895,0.0030533161038554845,1.109624263620293,0.018768136382953462,0.442389,1.05168,0.0557303,0.0557303,0.45,0.25,26900867.69502277,0.5979512577774716,0.01,6.216814769604546e-06,-1.0208341385124329,-0.11498758687135191,0.905846551641081
2,2,8,0.605605310747037,0.019915647533291454,0.07570066384337965,0.0024894559416614318,0.5381069215024084,0.014247455762905101,0.553905,0.487632,0.0360229,0.0360229,0.575,0.25,26900867.69502277,0.5979512577774716,0.015,4.144543179736364e-06,-0.5299046469036575,-0.11797331074703704,0.41193133615662036
2,2,9,0.045134143574279154,0.007478263828644159,0.005641767946784894,0.0009347829785805198,0.061596705007505644,0.01020594110228779,0.693653,0.191398,0.0456369,0.0456369,0.7250000000000001,0.25,26900867.69502277,0.5979512577774716,0.015,4.144543179736364e-06,-0.03949237562749426,0.14626385642572087,0.18575623205321512
2,2,10,,,0.0,0.0,0.0,0.0,,,,,0.9,0.25,26900867.69502277,0.5979512577774716,0.02,3.108407384802273e-06,,,
2,3,2,3.459881530377089,0.0609879902419173,0.43248519129713614,0.007623498780239662,4.8413321370690285,0.06736699084905964,0.0747998,4.5123,0.454773,0.454773,0.07500000000000001,0.35,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-3.027396339079953,1.0524184696229106,4.079814808702864
2,3,3,3.869231689112939,0.09863608490806451,0.48365396113911735,0.012329510613508066,3.8599045399669194,0.043169788352423924,0.12494,3.86729,0.281941,0.281941,0.125,0.35,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-3.3855777279738213,-0.0019416891129386826,3.3836360388608826
2,3,4,2.9751951539884653,0.0488699753141822,0.37189939424855817,0.0061087469142727755,3.069431147579799,0.03287662859879817,0.174545,3.05479,0.167185,0.167185,0.175,0.35,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-2.603295759739907,0.07959484601153477,2.682890605751442
2,3,5,2.021536965001051,0.02580280601474379,0.25269212062513136,0.003225350751842974,2.143917456673902,0.016998688295498384,0.246966,2.16117,0.102253,0.102253,0.25,0.35,26900867.69502277,0.5979512577774716,0.01,6.216814769604546e-06,-1.7688448443759195,0.13963303499894897,1.9084778793748685
2,3,6,1.2498001401691303,0.017091242321658654,0.1562250175211413,0.002136405290207332,1.308140033542837,0.012998939276540186,0.346388,1.28212,0.065428,0.065428,0.35,0.35,26900867.69502277,0.5979512577774716,0.01,6.216814769604546e-06,-1.093575122647989,0.0323198598308696,1.1258949824788587
2,3,7,0.7281894191513685,0.010037055822154703,0.09102367739392105,0.001254631977769338,0.7656143567398952,0.008938510618723383,0.445954,0.724274,0.0367725,0.0367725,0.45,0.35,26900867.69502277,0.5979512577774716,0.01,6.216814769604546e-06,-0.6371657417574474,-0.003915419151368504,0.6332503226060789
2,3,8,0.39281346618790713,0.005400577682656896,0.04910168327348839,0.000675072210332112,0.39435929157431443,0.005145862497890679,0.565806,0.374721,0.0163804,0.0163804,0.575,0.35,26900867.69502277,0.5979512577774716,0.015,4.144543179736364e-06,-0.34371178291441873,-0.018092466187907108,0.3256193167265116
2,3,9,0.19166759907955763,0.004232638552036919,0.023958449884944704,0.000529079819004615,0.17998808262797308,0.0036937298871098333,0.71416,0.168037,0.00771333,0.00771333,0.7250000000000001,0.35,26900867.69502277,0.5979512577774716,0.015,4.144543179736364e-06,-0.16770914919461294,-0.02363059907955764,0.1440785501150553
2,3,10,0.09332995710906408,0.0035106821685267292,0.01166624463863301,0.00043883527106584116,0.07765451924129212,0.0024153878762240007,0.876173,0.0679208,0.00611594,0.00611594,0.9,0.35,26900867.69502277,0.5979512577774716,0.02,3.108407384802273e-06,-0.08166371247043107,-0.02540915710906408,0.05625455536136699
2,4,2,2.001931015319958,0.08082151588437607,0.25024137691499476,0.010102689485547009,2.367123790573067,0.038679134095269074,0.0746183,2.26416,0.157493,0.157493,0.07500000000000001,0.45,26900867.69502277,0.5979512577774716,0.005,1.2433629539209092e-05,-1.7516896384049634,0.26222898468004185,2.0139186230850052
