xq2_bin,z_bin_phiavg,pt2_bin_phiavg,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,content,error,_merge,diff(phiavg - spec),ratio(phiavg/spec),abs_rel_diff
1,1.0,3.0,414197.0,8.0,3313576.0,0.0,2.0,0.0,2.0,7695.57,1247.12,both,406501.43,53.82278375740849,52.82278375740849
1,1.0,4.0,222630.875,8.0,1781047.0,0.0,3.0,0.0,3.0,4548.12,615.9,both,218082.755,48.95008816829811,47.95008816829811
1,1.0,5.0,210041.0,8.0,1680328.0,0.0,4.0,0.0,4.0,3034.77,405.196,both,207006.23,69.21150532000777,68.21150532000777
1,1.0,6.0,93188.525,8.0,745508.2,0.0,5.0,0.0,5.0,155.988,45.3414,both,93032.537,597.4082942277611,596.4082942277611
1,,,,,,,,0.0,6.0,0.0,0.0,right_only,,,
1,,,,,,,,0.0,7.0,0.0,0.0,right_only,,,
1,,,,,,,,0.0,8.0,0.0,0.0,right_only,,,
1,,,,,,,,0.0,9.0,0.0,0.0,right_only,,,
1,,,,,,,,0.0,10.0,0.0,0.0,right_only,,,
1,2.0,1.0,241972.5,6.0,1451835.0,1.0,0.0,1.0,0.0,21099.7,3485.84,both,220872.8,11.468054048161822,10.468054048161822
1,2.0,2.0,118025.6625,8.0,944205.3,1.0,1.0,1.0,1.0,21785.8,2569.74,both,96239.8625,5.4175500784914945,4.4175500784914945
1,2.0,3.0,87271.475,8.0,698171.8,1.0,2.0,1.0,2.0,23889.3,1667.09,both,63382.175,3.653161666520158,2.6531616665201576
1,2.0,4.0,60301.35,8.0,482410.8,1.0,3.0,1.0,3.0,19958.0,1204.54,both,40343.35,3.0214124661789756,2.0214124661789756
1,2.0,5.0,77813.0,8.0,622504.0,1.0,4.0,1.0,4.0,25367.1,1193.56,both,52445.9,3.0674771653046666,2.0674771653046666
1,2.0,6.0,43529.15,8.0,348233.2,1.0,5.0,1.0,5.0,11620.9,589.252,both,31908.25,3.7457640974451207,2.7457640974451207
1,2.0,7.0,24331.7875,8.0,194654.3,1.0,6.0,1.0,6.0,4342.97,194.231,both,19988.817499999997,5.60256863390721,4.60256863390721
1,2.0,8.0,17897.275,8.0,143178.2,1.0,7.0,1.0,7.0,1563.08,111.067,both,16334.195000000002,11.450005757862684,10.450005757862684
1,2.0,9.0,8042.5525,8.0,64340.42,1.0,8.0,1.0,8.0,156.991,38.6508,both,7885.5615,51.22938576096718,50.22938576096718
1,2.0,10.0,5760.746666666666,3.0,17282.239999999998,1.0,9.0,1.0,9.0,0.0,0.0,both,5760.746666666666,,
1,,,,,,,,1.0,10.0,0.0,0.0,right_only,,,
1,3.0,1.0,110363.4875,8.0,882907.9,2.0,0.0,2.0,0.0,-10187.4,1433.41,both,120550.8875,-10.833332106327425,-11.833332106327424
1,3.0,2.0,47467.46666666667,6.0,284804.8,2.0,1.0,2.0,1.0,11901.7,1052.61,both,35565.76666666666,3.9882929889567595,2.988292988956759
1,3.0,3.0,40661.1875,8.0,325289.5,2.0,2.0,2.0,2.0,13141.2,759.122,both,27519.9875,3.094176140687304,2.094176140687304
1,3.0,4.0,31817.9375,8.0,254543.5,2.0,3.0,2.0,3.0,12970.7,533.127,both,18847.2375,2.4530624792802236,1.4530624792802238
1,3.0,5.0,42883.8,8.0,343070.4,2.0,4.0,2.0,4.0,22063.6,825.947,both,20820.200000000004,1.943644736126471,0.943644736126471
1,3.0,6.0,26767.5375,8.0,214140.3,2.0,5.0,2.0,5.0,14912.8,587.582,both,11854.7375,1.79493706748565,0.7949370674856499
1,3.0,7.0,15971.3125,8.0,127770.5,2.0,6.0,2.0,6.0,8815.55,360.118,both,7155.762500000001,1.811720482556392,0.811720482556392
1,3.0,8.0,13062.6875,8.0,104501.5,2.0,7.0,2.0,7.0,6894.17,253.759,both,6168.5175,1.8947440373533,0.8947440373533
1,3.0,9.0,6223.4574999999995,8.0,49787.659999999996,2.0,8.0,2.0,8.0,2653.33,95.7124,both,3570.1274999999996,2.3455271300592084,1.3455271300592084
1,3.0,10.0,3864.8,8.0,30918.4,2.0,9.0,2.0,9.0,980.085,66.835,both,2884.715,3.943331445741951,2.943331445741951
1,3.0,11.0,2732.414285714286,7.0,19126.9,2.0,10.0,2.0,10.0,207.79,33.9839,both,2524.624285714286,13.149883467511845,12.149883467511845
1,4.0,1.0,27766.116666666665,6.0,166596.69999999998,3.0,0.0,3.0,0.0,5772.21,515.088,both,21993.906666666666,4.810309511723701,3.8103095117237014
1,4.0,2.0,20396.033333333333,6.0,122376.2,3.0,1.0,3.0,1.0,6535.61,379.131,both,13860.423333333332,3.1207543493772323,2.1207543493772323
1,4.0,3.0,20972.266666666666,6.0,125833.6,3.0,2.0,3.0,2.0,6474.55,330.469,both,14497.716666666667,3.239185220079645,2.239185220079645
1,4.0,4.0,16426.649999999998,6.0,98559.9,3.0,3.0,3.0,3.0,6513.28,352.776,both,9913.369999999999,2.5220242335658836,1.5220242335658838
1,4.0,5.0,25776.100000000002,6.0,154656.6,3.0,4.0,3.0,4.0,12607.1,424.522,both,13169.000000000002,2.0445701231845548,1.0445701231845548
1,4.0,6.0,16883.97142857143,7.0,118187.8,3.0,5.0,3.0,5.0,10041.7,291.694,both,6842.271428571428,1.681385764220344,0.6813857642203439
1,4.0,7.0,10976.17,8.0,87809.36,3.0,6.0,3.0,6.0,7263.16,234.48,both,3713.01,1.5112113735619208,0.5112113735619207
1,4.0,8.0,9989.28375,8.0,79914.27,3.0,7.0,3.0,7.0,6800.69,308.09,both,3188.593750000001,1.4688632697564514,0.4688632697564513
1,4.0,9.0,5192.5575,8.0,41540.46,3.0,8.0,3.0,8.0,3599.57,186.768,both,1592.9874999999997,1.4425493878435478,0.44254938784354786
1,4.0,10.0,3281.3775,8.0,26251.02,3.0,9.0,3.0,9.0,2224.12,119.814,both,1057.2575000000002,1.4753599176303438,0.4753599176303438
1,4.0,11.0,2229.625,8.0,17837.0,3.0,10.0,3.0,10.0,1137.86,54.0576,both,1091.765,1.9594897439052257,0.9594897439052258
1,5.0,1.0,14753.268,5.0,73766.34,4.0,0.0,4.0,0.0,4069.5,357.591,both,10683.768,3.625326944342057,2.625326944342057
1,5.0,2.0,11901.460000000001,5.0,59507.3,4.0,1.0,4.0,1.0,3813.55,267.431,both,8087.910000000001,3.1208349175964654,2.1208349175964654
1,5.0,3.0,10395.036,5.0,51975.18,4.0,2.0,4.0,2.0,3636.6,194.069,both,6758.436,2.8584491008084476,1.8584491008084474
1,5.0,4.0,9047.095,6.0,54282.57,4.0,3.0,4.0,3.0,3471.39,176.624,both,5575.705,2.6061880111425104,1.6061880111425106
1,5.0,5.0,14618.033333333333,6.0,87708.2,4.0,4.0,4.0,4.0,6657.32,317.279,both,7960.713333333333,2.195783488450808,1.195783488450808
1,5.0,6.0,10255.23,6.0,61531.38,4.0,5.0,4.0,5.0,5959.39,289.585,both,4295.839999999999,1.7208523019973518,0.720852301997352
1,5.0,7.0,7728.055,6.0,46368.33,4.0,6.0,4.0,6.0,4736.44,209.866,both,2991.6150000000007,1.6316167839136568,0.6316167839136568
1,5.0,8.0,7616.495,6.0,45698.97,4.0,7.0,4.0,7.0,4968.57,239.465,both,2647.925,1.5329350295960409,0.5329350295960408
1,5.0,9.0,4017.51875,8.0,32140.15,4.0,8.0,4.0,8.0,3014.83,129.635,both,1002.6887500000003,1.332585502333465,0.332585502333465
1,5.0,10.0,2737.12875,8.0,21897.03,4.0,9.0,4.0,9.0,2216.8,119.581,both,520.3287499999997,1.2347206559003967,0.2347206559003968
1,5.0,11.0,2059.61,8.0,16476.88,4.0,10.0,4.0,10.0,1378.93,75.5857,both,680.6800000000001,1.4936291182293517,0.4936291182293518
1,6.0,1.0,8574.81,4.0,34299.24,5.0,0.0,5.0,0.0,2824.13,181.013,both,5750.679999999999,3.0362660359119444,2.0362660359119444
1,6.0,2.0,7071.753333333333,3.0,21215.26,5.0,1.0,5.0,1.0,2538.9,173.663,both,4532.853333333333,2.785361114393372,1.785361114393372
1,6.0,3.0,8507.324,5.0,42536.62,5.0,2.0,5.0,2.0,2292.91,91.0295,both,6214.414000000001,3.710273844154372,2.710273844154372
1,6.0,4.0,5488.04,5.0,27440.2,5.0,3.0,5.0,3.0,1993.38,108.73,both,3494.66,2.7531328697990345,1.7531328697990347
1,6.0,5.0,8684.021666666667,6.0,52104.130000000005,5.0,4.0,5.0,4.0,3860.31,192.249,both,4823.711666666668,2.2495658811511685,1.2495658811511687
1,6.0,6.0,6858.631666666667,6.0,41151.79,5.0,5.0,5.0,5.0,3369.0,172.15,both,3489.631666666667,2.03580637182151,1.03580637182151
1,6.0,7.0,4890.1483333333335,6.0,29340.89,5.0,6.0,5.0,6.0,2949.37,177.41,both,1940.7783333333336,1.6580314892106904,0.6580314892106903
