xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
7,8,5,2,8,17978.879257215973,877.0382755947912
7,8,5,3,4,3390.132108164682,405.8035459038652
7,8,6,1,1,218.13899878371674,54.36245373074035
8,9,1,1,6,10038699.59934301,313549.8313431146
8,9,1,2,8,5584484.169511683,210855.15555996084
8,9,1,3,8,2802901.881509492,46533.713836362615
8,9,1,4,8,1536622.4135698332,28284.68217061439
8,9,1,5,8,1489894.773579469,26877.3552459328
8,9,1,6,8,671856.1290531143,35370.54164827924
8,9,2,1,6,1313584.6598605223,20314.05932881125
8,9,2,2,8,747442.325549086,30179.796696752335
8,9,2,3,8,599036.8076336746,9287.537857973823
8,9,2,4,8,417115.7396554134,4704.584339782929
8,9,2,5,8,539073.4444363674,4425.601307708792
8,9,2,6,8,296412.7865326729,2912.762901098702
8,9,2,7,8,165652.60545693725,2294.322180329825
8,9,2,8,8,122522.62299512375,2590.1118400313485
8,9,2,9,8,63586.41282231384,3117.140287284743
8,9,3,1,8,570922.320662941,14931.712660493598
8,9,3,2,6,254296.49871505162,5104.291533451957
8,9,3,3,8,251800.10931131677,8294.306930490467
8,9,3,4,8,211643.8235781409,4362.428151016639
8,9,3,5,8,309005.08186205383,4226.55478382585
8,9,3,6,8,181200.27560045305,2443.908191945823
8,9,3,7,8,111777.22965459159,1433.745158727283
8,9,3,8,8,86238.51869131223,1082.934421927731
8,9,3,9,8,41129.389068254575,728.0110927443858
8,9,3,10,8,27247.569986287785,659.2865265138945
8,9,3,11,7,15853.04561222098,747.2606263770583
8,9,4,1,8,186328.21145667374,9101.083761008347
8,9,4,2,6,121673.15768057451,5619.491369791271
8,9,4,3,6,103126.29170412631,3112.3661119292146
8,9,4,4,6,92565.98277807093,1813.1308829581524
8,9,4,5,8,162418.93106023344,7087.8052533641385
8,9,4,6,6,90962.61250768718,1126.0463123357538
8,9,4,7,8,74383.5823237498,2184.7350687469993
8,9,4,8,8,65493.38009924454,1222.4235701482796
8,9,4,9,8,36556.200294983835,698.9352535704851
8,9,4,10,8,23007.34653764455,481.5103926992485
8,9,4,11,8,14477.74511553122,353.0311009604495
8,9,5,1,7,91608.44823364768,5053.75192945411
8,9,5,2,6,64862.83186764517,3039.594725229409
8,9,5,3,5,47120.801505836665,1330.0149020129231
8,9,5,4,5,41084.64677009676,998.797661935639
8,9,5,5,6,76983.36468904295,1339.6332118091027
8,9,5,6,6,55352.79743924938,902.2308155146931
8,9,5,7,6,39600.74036291987,652.7890937996463
8,9,5,8,7,47550.05007583776,2986.3616593281877
8,9,5,9,7,24950.147770107433,728.9239885376631
8,9,5,10,8,18535.919374720386,548.1536289896208
8,9,5,11,8,13715.928646353923,358.80157286883514
8,9,6,1,7,51668.42142014871,2117.3273254157407
8,9,6,2,5,32989.79969407915,1259.5978869126186
8,9,6,3,5,29383.458668241394,1180.7696280541293
8,9,6,4,5,24769.543607544125,770.1275756405065
8,9,6,5,6,45223.75170899576,1252.4530705996656
8,9,6,6,6,35339.10805393407,760.3953003511301
8,9,6,7,6,26056.634192945367,571.0592034944596
8,9,6,8,6,27360.98959392052,523.6583789471767
8,9,6,9,6,16900.265162607928,380.1721001970251
8,9,6,10,7,14247.993919316017,818.5004876957804
8,9,6,11,7,9118.952540932609,298.75210085801666
8,9,7,1,8,33567.63453223234,1438.9705957896274
8,9,7,2,5,19646.384931978457,794.3008873055037
8,9,7,3,4,13740.083893374755,745.1106121700426
8,9,7,4,5,17086.11346889274,790.9228971795302
8,9,7,5,5,24274.792728413067,663.5378416147464
8,9,7,6,5,18185.105259353564,466.8013861985458
8,9,7,7,6,15652.059416128259,451.2300846870554
8,9,7,8,6,15695.69140943234,398.0760738720547
