xq2_bin,z0,pt20,phi_content_sum,phi_bin_count,spec_content,nophi_content,ratio(phi/spec),ratio(phi/nophi),ratio(nophi/spec)
0,3,4,13432.43,8.0,11106.9,0.0,1.2093770539034294,,0.0
0,3,4,13432.43,8.0,11106.9,0.0,1.2093770539034294,,0.0
0,3,5,11335.4097,8.0,9634.46,0.0,1.1765485247746112,,0.0
0,3,5,11335.4097,8.0,9634.46,0.0,1.1765485247746112,,0.0
0,3,6,8814.610999999999,8.0,7487.51,0.0,1.1772419669556367,,0.0
0,3,6,8814.610999999999,8.0,7487.51,0.0,1.1772419669556367,,0.0
0,3,7,9463.91,8.0,7982.59,0.0,1.1855688441971841,,0.0
0,3,7,9463.91,8.0,7982.59,0.0,1.1855688441971841,,0.0
0,3,8,5621.849,8.0,4780.36,0.0,1.176030466324712,,0.0
0,3,8,5621.849,8.0,4780.36,0.0,1.176030466324712,,0.0
0,3,9,3822.9703,8.0,3294.98,0.0,1.160240820885104,,0.0
0,3,9,3822.9703,8.0,3294.98,0.0,1.160240820885104,,0.0
0,3,10,2650.8884,8.0,2253.2,0.0,1.1764993786614593,,0.0
0,3,10,2650.8884,8.0,2253.2,0.0,1.1764993786614593,,0.0
0,4,0,1942.372,8.0,1552.58,0.0,1.2510608149016478,,0.0
0,4,0,1942.372,8.0,1552.58,0.0,1.2510608149016478,,0.0
0,4,1,2859.3558000000003,8.0,2369.04,0.0,1.20696813899301,,0.0
0,4,1,2859.3558000000003,8.0,2369.04,0.0,1.20696813899301,,0.0
0,4,2,3083.2925999999998,8.0,2593.71,0.0,1.1887576483107207,,0.0
0,4,2,3083.2925999999998,8.0,2593.71,0.0,1.1887576483107207,,0.0
0,4,3,3378.4836,8.0,2857.84,0.0,1.1821808078828766,,0.0
0,4,3,3378.4836,8.0,2857.84,0.0,1.1821808078828766,,0.0
0,4,4,7088.153,8.0,5954.6,0.0,1.190365935579216,,0.0
0,4,4,7088.153,8.0,5954.6,0.0,1.190365935579216,,0.0
0,4,5,6118.426,8.0,5306.74,0.0,1.152953790839574,,0.0
0,4,5,6118.426,8.0,5306.74,0.0,1.152953790839574,,0.0
0,4,6,5432.949,8.0,4635.35,0.0,1.1720687758205959,,0.0
0,4,6,5432.949,8.0,4635.35,0.0,1.1720687758205959,,0.0
0,4,7,5987.785,8.0,5133.3,0.0,1.1664591977869985,,0.0
0,4,7,5987.785,8.0,5133.3,0.0,1.1664591977869985,,0.0
0,4,8,3956.6143,8.0,3383.43,0.0,1.1694092385537753,,0.0
0,4,8,3956.6143,8.0,3383.43,0.0,1.1694092385537753,,0.0
0,4,9,3125.7456,8.0,2645.94,0.0,1.1813365382434977,,0.0
0,4,9,3125.7456,8.0,2645.94,0.0,1.1813365382434977,,0.0
0,4,10,2680.9697,8.0,2292.73,0.0,1.169335115779006,,0.0
0,4,10,2680.9697,8.0,2292.73,0.0,1.169335115779006,,0.0
0,5,0,1185.0533,8.0,978.871,0.0,1.2106327595771047,,0.0
0,5,0,1185.0533,8.0,978.871,0.0,1.2106327595771047,,0.0
0,5,1,1664.435,8.0,1356.28,0.0,1.22720603415224,,0.0
0,5,1,1664.435,8.0,1356.28,0.0,1.22720603415224,,0.0
0,5,2,1847.266,8.0,1578.18,0.0,1.1705039982764958,,0.0
0,5,2,1847.266,8.0,1578.18,0.0,1.1705039982764958,,0.0
0,5,3,1857.3960000000002,8.0,1611.89,0.0,1.152309400765561,,0.0
0,5,3,1857.3960000000002,8.0,1611.89,0.0,1.152309400765561,,0.0
0,5,4,3846.0181,8.0,3312.23,0.0,1.1611567131509586,,0.0
0,5,4,3846.0181,8.0,3312.23,0.0,1.1611567131509586,,0.0
0,5,5,3563.928,8.0,3051.4,0.0,1.1679648685849118,,0.0
0,5,5,3563.928,8.0,3051.4,0.0,1.1679648685849118,,0.0
0,5,6,3209.807,8.0,2699.98,0.0,1.1888262135275076,,0.0
0,5,6,3209.807,8.0,2699.98,0.0,1.1888262135275076,,0.0
0,5,7,3781.1079999999997,8.0,3290.21,0.0,1.1491995951626186,,0.0
0,5,7,3781.1079999999997,8.0,3290.21,0.0,1.1491995951626186,,0.0
0,5,8,2642.4410000000003,8.0,2345.46,0.0,1.1266195117375697,,0.0
0,5,8,2642.4410000000003,8.0,2345.46,0.0,1.1266195117375697,,0.0
0,5,9,2136.227,8.0,1828.19,0.0,1.1684928809368829,,0.0
0,5,9,2136.227,8.0,1828.19,0.0,1.1684928809368829,,0.0
0,5,10,1963.3096,8.0,1662.4,0.0,1.1810091434071222,,0.0
0,5,10,1963.3096,8.0,1662.4,0.0,1.1810091434071222,,0.0
0,6,0,770.7470000000001,8.0,669.043,0.0,1.152014145578087,,0.0
0,6,0,770.7470000000001,8.0,669.043,0.0,1.152014145578087,,0.0
0,6,1,1074.688,8.0,938.66,0.0,1.144917222423455,,0.0
0,6,1,1074.688,8.0,938.66,0.0,1.144917222423455,,0.0
0,6,2,1206.185,8.0,1012.72,0.0,1.1910350343629037,,0.0
0,6,2,1206.185,8.0,1012.72,0.0,1.1910350343629037,,0.0
0,6,3,1077.3097,8.0,890.098,0.0,1.2103270651096847,,0.0
0,6,3,1077.3097,8.0,890.098,0.0,1.2103270651096847,,0.0
0,6,4,2155.06,8.0,1908.92,0.0,1.1289420195712758,,0.0
0,6,4,2155.06,8.0,1908.92,0.0,1.1289420195712758,,0.0
0,6,5,1941.6545,8.0,1655.37,0.0,1.1729429070238075,,0.0
0,6,5,1941.6545,8.0,1655.37,0.0,1.1729429070238075,,0.0
0,6,6,1835.6548,8.0,1529.61,0.0,1.2000802819019227,,0.0
0,6,6,1835.6548,8.0,1529.61,0.0,1.2000802819019227,,0.0
0,6,7,2102.667,8.0,1844.97,0.0,1.1396754418771036,,0.0
0,6,7,2102.667,8.0,1844.97,0.0,1.1396754418771036,,0.0
0,6,8,1434.3328999999999,8.0,1185.68,0.0,1.2097133290601172,,0.0
0,6,8,1434.3328999999999,8.0,1185.68,0.0,1.2097133290601172,,0.0
0,6,9,1020.3104,8.0,864.524,0.0,1.1801990459489846,,0.0
0,6,9,1020.3104,8.0,864.524,0.0,1.1801990459489846,,0.0
0,6,10,466.3515,8.0,394.026,0.0,1.1835551461071097,,0.0
0,6,10,466.3515,8.0,394.026,0.0,1.1835551461071097,,0.0
0,7,0,283.9703,8.0,251.691,0.0,1.1282497189013512,,0.0
0,7,0,283.9703,8.0,251.691,0.0,1.1282497189013512,,0.0
0,7,1,392.02799999999996,8.0,321.816,0.0,1.218174360504139,,0.0
0,7,1,392.02799999999996,8.0,321.816,0.0,1.218174360504139,,0.0
0,7,2,403.16790000000003,8.0,326.548,0.0,1.2346359493856953,,0.0
0,7,2,403.16790000000003,8.0,326.548,0.0,1.2346359493856953,,0.0
0,7,3,375.8724,8.0,298.879,0.0,1.25760725912493,,0.0
0,7,3,375.8724,8.0,298.879,0.0,1.25760725912493,,0.0
0,7,4,600.8213000000001,8.0,505.678,0.0,1.1881499689525747,,0.0
0,7,4,600.8213000000001,8.0,505.678,0.0,1.1881499689525747,,0.0
0,7,5,451.97700000000003,8.0,361.43,0.0,1.2505243062280387,,0.0
0,7,5,451.97700000000003,8.0,361.43,0.0,1.2505243062280387,,0.0
0,7,6,250.6483,8.0,205.887,0.0,1.2174071213821174,,0.0
0,7,6,250.6483,8.0,205.887,0.0,1.2174071213821174,,0.0
0,7,7,167.2538,8.0,151.4,0.0,1.1047146631439895,,0.0
0,7,7,167.2538,8.0,151.4,0.0,1.1047146631439895,,0.0
0,7,8,0.0,8.0,0.0,0.0,,,
0,7,8,0.0,8.0,0.0,0.0,,,
0,7,9,0.0,8.0,0.0,0.0,,,
0,7,9,0.0,8.0,0.0,0.0,,,
0,7,10,0.0,8.0,0.0,0.0,,,
0,7,10,0.0,8.0,0.0,0.0,,,
1,0,0,10316.214,8.0,8990.04,15963.2,1.1475159176154943,0.6462497494236744,1.7756539459223761
