xq2_bin,z_bin0,pt2_bin0,phi_content_sum,phi_error_sum,phi_bin_count,z_bin,pt2_bin,spec_content,spec_error,_merge,diff_phi_minus_spec,ratio_phi_over_spec
0,0,0,91386.92,991.583520464111,8,0.0,0.0,100701.0,17363.3,both,-9314.080000000002,0.907507571920835
0,0,1,102594.57400000001,604.9400487106553,8,0.0,1.0,115354.0,18477.6,both,-12759.425999999992,0.8893889592038422
0,0,2,101697.98999999999,467.5683861483366,8,0.0,2.0,101670.0,11543.0,both,27.989999999990687,1.0002753024491
0,0,3,72816.29,334.3475237942252,8,0.0,3.0,74350.9,6966.85,both,-1534.6100000000006,0.9793599001491575
0,0,4,65380.91,312.3790999081885,8,0.0,4.0,70058.7,7274.78,both,-4677.789999999994,0.9332304196338215
0,0,5,8889.062,103.00890230028665,8,0.0,5.0,10026.9,783.86,both,-1137.8379999999997,0.886521457279917
0,0,6,0.0,0.0,8,0.0,6.0,0.0,0.0,both,0.0,
0,0,7,0.0,0.0,8,0.0,7.0,0.0,0.0,both,0.0,
0,0,8,0.0,0.0,8,0.0,8.0,0.0,0.0,both,0.0,
0,0,9,0.0,0.0,8,0.0,9.0,0.0,0.0,both,0.0,
0,0,10,0.0,0.0,8,0.0,10.0,0.0,0.0,both,0.0,
0,1,0,91159.49,755.1983672274457,8,1.0,0.0,132406.0,11690.5,both,-41246.509999999995,0.6884845852906968
0,1,1,166743.733,660.2823821574902,8,1.0,1.0,150502.0,8233.35,both,16241.733000000007,1.1079170575806303
0,1,2,181657.31999999998,599.1022488493095,8,1.0,2.0,169763.0,6520.21,both,11894.319999999978,1.0700642660650435
0,1,3,163682.35,493.82497362672945,8,1.0,3.0,156541.0,5325.31,both,7141.350000000006,1.045619677911857
0,1,4,248030.35,598.7091992676912,8,1.0,4.0,240471.0,7593.1,both,7559.350000000006,1.0314355993030344
0,1,5,149391.44,434.98414558583625,8,1.0,5.0,148521.0,4443.19,both,870.4400000000023,1.0058607200328573
0,1,6,75501.62,298.67884809925863,8,1.0,6.0,76389.6,2904.57,both,-887.9800000000105,0.9883756427576528
0,1,7,40931.98,214.4936340869351,8,1.0,7.0,42036.3,1530.8,both,-1104.3199999999997,0.9737293719951565
0,1,8,8709.925,97.53037338721717,8,1.0,8.0,9379.44,410.189,both,-669.5150000000012,0.9286188727685234
0,1,9,577.1021000000001,25.017818968225427,8,1.0,9.0,873.56,71.0267,both,-296.4578999999999,0.6606324694354139
0,1,10,0.0,0.0,8,1.0,10.0,0.0,0.0,both,0.0,
0,2,0,47342.7684,350.96446317247404,8,2.0,0.0,48854.6,5589.62,both,-1511.8315999999977,0.9690544677471518
0,2,1,73780.8248,376.9710109307324,8,2.0,1.0,68284.4,4900.62,both,5496.424800000008,1.0804931258091162
0,2,2,85508.01999999999,370.4203500289502,8,2.0,2.0,79019.5,4572.34,both,6488.5199999999895,1.0821128961838533
0,2,3,86673.645,339.33440370568087,8,2.0,3.0,83535.3,3484.65,both,3138.345000000001,1.037569087559391
0,2,4,151578.3,448.6689819964937,8,2.0,4.0,146108.0,5850.28,both,5470.299999999988,1.0374401127932762
0,2,5,112435.75,369.67600805905704,8,2.0,5.0,110888.0,3983.13,both,1547.75,1.013957777216651
0,2,6,78289.09,302.44314291354004,8,2.0,6.0,77436.8,3071.01,both,852.2899999999936,1.0110062657547831
0,2,7,71630.13,284.5825539399772,8,2.0,7.0,72968.7,2498.71,both,-1338.5699999999924,0.9816555591644089
0,2,8,37420.93,202.55776319331727,8,2.0,8.0,38827.4,1431.66,both,-1406.4700000000012,0.9637763538119987
0,2,9,20760.073,149.77239034491637,8,2.0,9.0,22090.0,818.604,both,-1329.9269999999997,0.9397950656405614
0,2,10,7375.329,88.3038041495382,8,2.0,10.0,8240.56,321.9,both,-865.2309999999998,0.8950033735571369
0,3,0,22155.374,198.40159242183515,8,3.0,0.0,20719.7,2286.2,both,1435.673999999999,1.0692902889520601
0,3,1,35023.53,255.67338298935226,8,3.0,1.0,33687.4,1888.94,both,1336.1299999999974,1.0396626038222005
0,3,2,40849.935,234.13229444937747,8,3.0,2.0,39192.5,1859.3,both,1657.4349999999977,1.0422895962237673
0,3,3,41083.672399999996,223.91826626014432,8,3.0,3.0,39389.5,2737.8,both,1694.1723999999958,1.043010761751228
0,3,4,79911.8579,336.7170311041899,8,3.0,4.0,75974.9,4311.81,both,3936.9579000000085,1.051819191601437
0,3,5,64122.469,272.2319114537456,8,3.0,5.0,62893.6,2954.64,both,1228.8689999999988,1.0195388560998258
0,3,6,47459.748999999996,232.10968538794324,8,3.0,6.0,47605.1,1998.93,both,-145.3510000000024,0.9969467346985932
0,3,7,47140.659999999996,229.8998916628714,8,3.0,7.0,47734.2,1738.31,both,-593.5400000000009,0.9875657285552077
0,3,8,27586.211,173.2347535900346,8,3.0,8.0,28708.1,1144.7,both,-1121.8889999999992,0.960920820256304
0,3,9,18919.032,142.45013814640546,8,3.0,9.0,20631.0,737.548,both,-1711.9680000000008,0.9170196306529009
0,3,10,14298.654,122.97608034439055,8,3.0,10.0,16209.6,684.078,both,-1910.946,0.8821102309742375
0,4,0,13281.8262,135.65903952296765,8,4.0,0.0,13266.1,1137.57,both,15.726199999999153,1.0011854425942817
0,4,1,19282.217,161.0210940855455,8,4.0,1.0,18591.1,1704.78,both,691.117000000002,1.0371746158107913
0,4,2,20933.9751,157.61144378692842,8,4.0,2.0,20457.2,1424.5,both,476.77509999999893,1.0233059802905577
0,4,3,21119.975,157.56383841214964,8,4.0,3.0,20553.3,1406.98,both,566.6749999999993,1.0275709983311683
0,4,4,41058.8,216.28405963764413,8,4.0,4.0,40695.3,2212.18,both,363.5,1.0089322354178492
0,4,5,35378.979999999996,197.65029718616665,8,4.0,5.0,35190.3,1686.76,both,188.67999999999302,1.005361704787967
0,4,6,27555.6716,173.90947380592036,8,4.0,6.0,27857.4,1302.37,both,-301.72839999999997,0.9891688240826495
0,4,7,29101.3435,177.82813966786162,8,4.0,7.0,29607.0,1383.72,both,-505.65650000000096,0.9829210490762319
0,4,8,17680.414,136.6485978770364,8,4.0,8.0,18662.0,735.915,both,-981.5859999999993,0.9474018861858322
0,4,9,12908.121000000001,117.0835550890047,8,4.0,9.0,14304.7,498.555,both,-1396.5789999999997,0.9023692213048858
0,4,10,10292.655,104.34973407555958,8,4.0,10.0,11913.7,497.296,both,-1621.045,0.8639343780689458
0,5,0,7953.0527999999995,100.34068814233636,8,5.0,0.0,7869.5,813.24,both,83.55279999999948,1.0106172946184637
0,5,1,10548.6398,113.08684798348568,8,5.0,1.0,10537.5,777.19,both,11.139800000000832,1.0010571577698697
0,5,2,10861.710000000001,111.3463245596818,8,5.0,2.0,10798.6,709.362,both,63.11000000000058,1.005844276109866
0,5,3,10698.375,108.1716610316214,8,5.0,3.0,10716.8,622.218,both,-18.424999999999272,0.9982807367871007
0,5,4,20462.622,152.3312999723957,8,5.0,4.0,20297.0,1079.76,both,165.6219999999994,1.0081599251120854
0,5,5,17542.551,137.500526017612,8,5.0,5.0,18383.8,1487.61,both,-841.2489999999998,0.9542396566542282
0,5,6,14419.48,124.03375241376841,8,5.0,6.0,15364.7,1132.72,both,-945.2200000000012,0.9384810637370075
