xq2_bin,z_bin,pt2_bin,phi_content_sum,phi_bin_count,phi_error_sum,z_bin0,pt2_bin0
1,3,1,91728.17,8,472.0451137341642,2,0
1,3,2,94315.1502,8,414.5959263965458,2,1
1,3,3,96346.195,8,377.344523431108,2,2
1,3,4,91636.99,8,344.38023212966215,2,3
1,3,5,149875.19999999998,8,454.9635107537416,2,4
1,3,6,98049.08,8,339.59862712658304,2,5
1,3,7,60861.06,8,261.9232593535175,2,6
1,3,8,50351.39,8,235.9283194012749,2,7
1,3,9,21326.84,8,151.081330444036,2,8
1,3,10,9097.208,8,98.22938868750025,2,9
1,3,11,1891.6692,8,44.810867990871365,2,10
1,4,1,54716.301,8,314.3822093547757,3,0
1,4,2,55548.665,8,314.69610751575874,3,1
1,4,3,53964.823599999996,8,261.0833553209204,3,2
1,4,4,50935.182199999996,8,248.47504043056395,3,3
1,4,5,92897.781,8,332.87944308102,3,4
1,4,6,68824.729,8,279.54054386855944,3,5
1,4,7,47915.971,8,229.61882544924316,3,6
1,4,8,43852.406,8,219.3537675621278,3,7
1,4,9,23118.02,8,157.00228915955333,3,8
1,4,10,14813.229,8,124.88858910340849,3,9
1,4,11,8488.753,8,94.16709560924134,3,10
1,5,1,39296.04,8,237.78150305334938,4,0
1,5,2,34384.5417,8,208.11042522644752,4,1
1,5,3,31191.8727,8,194.08293397913067,4,2
1,5,4,29034.46,8,181.10506741046757,4,3
1,5,5,54234.7374,8,246.26902916716912,4,4
1,5,6,43268.1731,8,217.22726738991884,4,5
1,5,7,32075.079999999998,8,188.14288009515533,4,6
1,5,8,31217.9399,8,183.68325222531857,4,7
1,5,9,17498.568,8,136.41090645842803,4,8
1,5,10,11757.965,8,111.29403165129746,4,9
1,5,11,7675.433,8,89.65735918646054,4,10
1,6,1,25327.694,8,179.27812770882008,5,0
1,6,2,20650.118,8,155.18621513630004,5,1
1,6,3,17725.5947,8,141.53231072142538,5,2
1,6,4,15507.11123,8,129.821067787576,5,3
1,6,5,27602.43,8,175.95256436559828,5,4
1,6,6,22881.63,8,156.3497052496742,5,5
1,6,7,17750.742,8,137.36729564335903,5,6
1,6,8,18319.5,8,139.21181682874482,5,7
1,6,9,10470.619,8,104.6616398894552,5,8
1,6,10,6733.3609,8,84.05119960851243,5,9
1,6,11,3359.8808,8,59.591883975226025,5,10
1,7,1,13156.357,8,123.53094049273646,6,0
1,7,2,9889.644100000001,8,105.25490318532862,6,1
1,7,3,8017.5108,8,92.92769778185513,6,2
1,7,4,6799.8315999999995,8,84.84854168446267,6,3
1,7,5,11398.556,8,111.33399407467604,6,4
1,7,6,9137.453000000001,8,98.26150808521106,6,5
