ixq2,iz,point,x,y,exl,exh,eyl,eyh
2,3,3,0.174769,0.603334,0,0,0.041846,0.041846
2,3,4,0.248787,0.465852,0,0,0.0278295,0.0278295
2,3,5,0.347993,0.338515,0,0,0.0198363,0.0198363
2,3,6,0.447502,0.232648,0,0,0.0126395,0.0126395
2,3,7,0.568299,0.145286,0,0,0.00823904,0.00823904
2,3,8,0.718427,0.0790501,0,0,0.00509252,0.00509252
2,3,9,0.887372,0.0391752,0,0,0.00231834,0.00231834
2,4,0,0.0238661,0.528141,0,0,0.0460681,0.0460681
2,4,1,0.0744191,0.49716,0,0,0.0407797,0.0407797
2,4,2,0.124401,0.419556,0,0,0.0300463,0.0300463
2,4,3,0.174682,0.347738,0,0,0.0283961,0.0283961
2,4,4,0.248553,0.287353,0,0,0.0200752,0.0200752
2,4,5,0.348607,0.20351,0,0,0.0152897,0.0152897
2,4,6,0.447824,0.151094,0,0,0.0127,0.0127
2,4,7,0.568541,0.100309,0,0,0.00707028,0.00707028
2,4,8,0.71767,0.054742,0,0,0.00391514,0.00391514
2,4,9,0.886585,0.0266372,0,0,0.00176145,0.00176145
2,5,0,0.0233795,0.315098,0,0,0.039418,0.039418
2,5,1,0.073947,0.278955,0,0,0.0294875,0.0294875
2,5,2,0.12423,0.259489,0,0,0.025083,0.025083
2,5,3,0.174201,0.205729,0,0,0.0180075,0.0180075
2,5,4,0.247903,0.164154,0,0,0.0137328,0.0137328
2,5,5,0.347679,0.112181,0,0,0.0105449,0.0105449
2,5,6,0.447043,0.080385,0,0,0.00732297,0.00732297
2,5,7,0.566461,0.0444834,0,0,0.00450244,0.00450244
2,5,8,0.714607,0.0189079,0,0,0.00207981,0.00207981
2,5,9,0.875439,0.00536893,0,0,0.000831438,0.000831438
3,0,0,0.0255666,9.25184,0,0,2.08884,2.08884
3,0,1,0.0745612,7.42874,0,0,1.18301,1.18301
3,0,2,0.124047,5.69432,0,0,0.668745,0.668745
3,0,3,0.173406,4.12036,0,0,0.396378,0.396378
3,0,4,0.24271,2.57831,0,0,0.231022,0.231022
3,0,5,0.341512,1.31162,0,0,0.0849171,0.0849171
3,0,6,0.439488,0.660879,0,0,0.0820172,0.0820172
3,0,7,0.540633,0.353872,0,0,0.0480735,0.0480735
3,1,0,0.0256674,3.70553,0,0,0.32037,0.32037
3,1,1,0.0741098,3.12794,0,0,0.22643,0.22643
3,1,2,0.124793,2.6029,0,0,0.128757,0.128757
3,1,3,0.174458,2.15062,0,0,0.106202,0.106202
3,1,4,0.245782,1.44456,0,0,0.0768576,0.0768576
3,1,5,0.345106,0.847515,0,0,0.0357197,0.0357197
